Date;Proton10;
1.1.-8.1.2012;0.176510;
9.1.-15.1.2012;0.154048;
16.1.-22.1.2012;0.412798;
23.1.-29.1.2012;570.992798;
30.1.-5.2.2012;5.137619;
6.2.-12.2.2012;0.159762;
13.2.-19.2.2012;0.145476;
20.2.-26.2.2012;0.500059;
27.2.-4.3.2012;0.190893;
5.3.-11.3.2012;489.517738;
12.3.-18.3.2012;20.625179;
19.3.-25.3.2012;0.149464;
26.3.-1.4.2012;0.192619;
2.4.-8.4.2012;0.158929;
9.4.-15.4.2012;0.146845;
16.4.-22.4.2012;0.159583;
23.4.-29.4.2012;0.141369;
30.4.-6.5.2012;0.146131;
7.5.-13.5.2012;0.146845;
14.5.-20.5.2012;10.912262;
21.5.-27.5.2012;0.679643;
28.5.-3.6.2012;0.250119;
4.6.-10.6.2012;0.138274;
11.6.-17.6.2012;0.644345;
18.6.-24.6.2012;0.143750;
25.6.-1.7.2012;0.141726;
2.7.-8.7.2012;1.977798;
9.7.-15.7.2012;7.263750;
16.7.-22.7.2012;14.907679;
23.7.-29.7.2012;3.697500;
30.7.-5.8.2012;0.345298;
6.8.-12.8.2012;0.134345;
13.8.-19.8.2012;0.127024;
20.8.-26.8.2012;0.136905;
27.8.-2.9.2012;4.605357;
3.9.-9.9.2012;2.155774;
10.9.-16.9.2012;0.136250;
17.9.-23.9.2012;0.141131;
24.9.-30.9.2012;1.121369;
1.10.-7.10.2012;0.151429;
8.10.-14.10.2012;0.131548;
15.10.-21.10.2012;0.130536;
22.10.-28.10.2012;0.133869;
29.10.-4.11.2012;0.132917;
5.11.-11.11.2012;0.329583;
12.11.-18.11.2012;0.137262;
19.11.-25.11.2012;0.127857;
26.11.-2.12.2012;0.127322;
3.12.-9.12.2012;0.131191;
10.12.-16.12.2012;0.322917;
17.12.-23.12.2012;0.134702;
24.12.-31.12.2012;0.134219;
