Date;Proton10;
1.1.-7.1.2018;0.241190;
8.1.-14.1.2018;0.248333;
15.1.-21.1.2018;0.258274;
22.1.-28.1.2018;0.252738;
29.1.-4.2.2018;0.245893;
5.2.-11.2.2018;0.251548;
12.2.-18.2.2018;0.263809;
19.2.-25.2.2018;0.253274;
26.2.-4.3.2018;0.250178;
5.3.-11.3.2018;0.253988;
12.3.-18.3.2018;0.259107;
19.3.-25.3.2018;0.254405;
26.3.-1.4.2018;0.250357;
2.4.-8.4.2018;0.254464;
9.4.-15.4.2018;0.259702;
16.4.-22.4.2018;0.257441;
23.4.-29.4.2018;0.250179;
30.4.-6.5.2018;0.257262;
7.5.-13.5.2018;0.251726;
14.5.-20.5.2018;0.260238;
21.5.-27.5.2018;0.250952;
28.5.-3.6.2018;0.253810;
4.6.-10.6.2018;0.265238;
11.6.-17.6.2018;0.274643;
18.6.-24.6.2018;0.382440;
25.6.-1.7.2018;0.251607;
2.7.-8.7.2018;0.267798;
9.7.-15.7.2018;0.269941;
16.7.-22.7.2018;0.264167;
23.7.-29.7.2018;0.265952;
30.7.-5.8.2018;0.271488;
6.8.-12.8.2018;0.264762;
13.8.-19.8.2018;0.264643;
20.8.-26.8.2018;0.262500;
27.8.-2.9.2018;0.270357;
3.9.-9.9.2018;0.267738;
10.9.-16.9.2018;0.265298;
17.9.-23.9.2018;0.266429;
24.9.-30.9.2018;0.268512;
1.10.-7.10.2018;0.275655;
8.10.-14.10.2018;0.268333;
15.10.-21.10.2018;0.264703;
22.10.-28.10.2018;0.272738;
29.10.-4.11.2018;0.278571;
5.11.-11.11.2018;0.262321;
12.11.-18.11.2018;0.263631;
19.11.-25.11.2018;0.274643;
26.11.-2.12.2018;0.279464;
3.12.-9.12.2018;0.266786;
10.12.-16.12.2018;0.263631;
17.12.-23.12.2018;0.275238;
24.12.-30.12.2018;0.280655;
