Date;Proton10;
1.1.-10.1.2016;0.504042;
11.1.-17.1.2016;0.143333;
18.1.-24.1.2016;0.147619;
25.1.-31.1.2016;0.155536;
1.2.-7.2.2016;0.146488;
8.2.-14.2.2016;0.150595;
15.2.-21.2.2016;0.150059;
22.2.-28.2.2016;0.151964;
29.2.-6.3.2016;0.154702;
7.3.-13.3.2016;0.327619;
14.3.-20.3.2016;0.183036;
21.3.-27.3.2016;0.145833;
28.3.-3.4.2016;0.152083;
4.4.-10.4.2016;0.153095;
11.4.-17.4.2016;0.149822;
18.4.-24.4.2016;0.164405;
25.4.-1.5.2016;0.153095;
2.5.-8.5.2016;0.150595;
9.5.-15.5.2016;0.179762;
16.5.-22.5.2016;0.180357;
23.5.-29.5.2016;0.154881;
30.5.-5.6.2016;0.159702;
6.6.-12.6.2016;0.159345;
13.6.-19.6.2016;0.151786;
20.6.-26.6.2016;0.153274;
27.6.-3.7.2016;0.157976;
4.7.-10.7.2016;0.160714;
11.7.-17.7.2016;0.148452;
18.7.-24.7.2016;0.161548;
25.7.-31.7.2016;0.159464;
1.8.-7.8.2016;0.158452;
8.8.-14.8.2016;0.155893;
15.8.-21.8.2016;0.154881;
22.8.-28.8.2016;0.157678;
29.8.-4.9.2016;0.160476;
5.9.-11.9.2016;0.158452;
12.9.-18.9.2016;0.160893;
19.9.-25.9.2016;0.164702;
26.9.-2.10.2016;0.163869;
3.10.-9.10.2016;0.163333;
10.10.-16.10.2016;0.166548;
17.10.-23.10.2016;0.169345;
24.10.-30.10.2016;0.163393;
31.10.-6.11.2016;0.167559;
7.11.-13.11.2016;0.169643;
14.11.-20.11.2016;0.173452;
21.11.-27.11.2016;0.165238;
28.11.-4.12.2016;0.168988;
5.12.-11.12.2016;0.170714;
12.12.-18.12.2016;0.174940;
19.12.-25.12.2016;0.167440;
26.12.-31.12.2016;0.172847;
