"Week";"Correlation"
1;-0.105537987265437
2;-0.104669672224439
3;-0.105041960489648
4;-0.102397679395225
5;-0.102520177129035
6;-0.101536317857438
7;-0.099404600148272
8;-0.0974992655016097
9;-0.0952553523487688
10;-0.0938097776211299
11;-0.0922498397591366
12;-0.0915146583714568
13;-0.0893358095027723
14;-0.0899165443695443
15;-0.0867988496799321
16;-0.0866650404168894
17;-0.08599331691668
18;-0.0847412657826381
19;-0.0839311764477859
20;-0.0828688299960343
21;-0.0810318112093781
22;-0.0794190043164194
23;-0.0775543193185072
24;-0.0765151365873192
25;-0.0766587811486438
26;-0.0760990632220813
27;-0.0753387777911065
28;-0.0735163734159738
29;-0.0731096886085951
30;-0.0732537638413366
31;-0.0724024927665946
32;-0.0723781619815091
33;-0.0724662456988988
34;-0.0736648846910569
35;-0.0718087644903245
36;-0.0711788516445335
37;-0.0706346033241151
38;-0.0699814792073014
39;-0.0694754581886744
40;-0.0689532701323939
41;-0.0694148446562864
42;-0.0695794306405869
43;-0.0698767073903846
44;-0.0692214542433755
45;-0.0684328868543388
46;-0.067761155943724
47;-0.067464098787658
48;-0.0657990781568702
49;-0.0655950825248283
50;-0.0650535959115353
51;-0.063513376852521
52;-0.0629578163577694
53;-0.0628119964983566
54;-0.0636211955611034
55;-0.0709682331808085
56;-0.0705073491959689
57;-0.0681522522952504
58;-0.069287695988503
59;-0.0711305341884406
60;-0.0732626628927408
61;-0.0753856042449941
62;-0.0765405328806371
63;-0.0770527910096581
64;-0.076788117485772
65;-0.0761025903923929
66;-0.0741761235830848
67;-0.0743903139306457
68;-0.0760010295043127
69;-0.0754450943895559
70;-0.0740570801388534
71;-0.0730148599985707
72;-0.071738507694483
73;-0.0709512537434147
74;-0.070480280365245
75;-0.0685954223425891
76;-0.0689105415126423
77;-0.0680302707139326
78;-0.0667902807799438
79;-0.0644209733516487
80;-0.063929097509571
81;-0.0638211052915316
82;-0.0641996606042353
83;-0.0645661832207898
84;-0.0634582679660751
85;-0.0613161899092504
86;-0.0599913675315091
87;-0.0614339309109358
88;-0.0597574241094319
89;-0.0587870468389302
90;-0.0576458123675008
91;-0.0574363317622933
92;-0.0572718336153159
93;-0.0565811876143846
94;-0.0572537747229498
95;-0.0561811929631139
96;-0.0576875844167022
97;-0.0566601000366505
98;-0.0565120153508922
99;-0.0548484321454567
100;-0.0541952318640629
101;-0.0537253752616305
102;-0.0531951342292803
103;-0.0525923058052537
104;-0.0516427277287157
105;-0.0535264740487087
106;-0.0519422955255056
107;-0.0488515472488399
108;-0.0489933480833005
109;-0.0600522124838437
110;-0.0609667935838145
111;-0.0621637936032617
112;-0.0595436413514695
113;-0.0571918317406768
114;-0.055477524746889
115;-0.0665347037377475
116;-0.0532891925922526
117;-0.0535700784279061
118;-0.0537684502009864
119;-0.0543835294717272
120;-0.0542026410831181
121;-0.0525709936213865
122;-0.0514837509176707
123;-0.0501182494675464
124;-0.0489064100176405
125;-0.0459381329102429
126;-0.0458511362025217
127;-0.0461632534653603
128;-0.0470498549210419
129;-0.047448514941659
130;-0.0465397888763534
131;-0.0673338546110846
132;-0.0679833455075884
133;-0.0673637645297882
134;-0.0622822579009386
135;-0.0630233551927701
136;-0.0640244626242777
137;-0.0640252634963393
138;-0.0625102844418419
139;-0.0619581261616152
140;-0.0613386720932868
141;-0.0620580434696119
142;-0.0621715434373904
143;-0.0623093132946354
144;-0.0624392971801928
145;-0.0610671040686149
146;-0.0599294635761392
147;-0.0593041295183486
148;-0.0613236773046705
149;-0.060554418191991
150;-0.0613976527514768
151;-0.0610805120747279
152;-0.0607382389102705
153;-0.0606063208191647
154;-0.0593295953465159
155;-0.0593433901140696
156;-0.0604273184370889
157;-0.0605898474587208
158;-0.0591156852501334
159;-0.0586334966443001
160;-0.058060613558078
161;-0.0573581242850346
162;-0.0557471200606788
163;-0.0557410310960936
164;-0.05619056989049
165;-0.0572165434076714
166;-0.0559979085339966
167;-0.0551439013888859
168;-0.055405942837013
169;-0.0545879622395032
170;-0.0538259668833318
171;-0.055067091214126
172;-0.0526116320251353
173;-0.052595797559269
174;-0.0533116393012176
175;-0.0527023731059217
176;-0.0515396093451629
177;-0.0662945391846756
178;-0.0664922146872668
179;-0.0676079973335587
180;-0.0685411914401785
181;-0.0673693608653592
182;-0.0674931619030901
183;-0.0672129583490975
184;-0.0682253550556916
185;-0.0683950411986627
186;-0.0660979624007971
187;-0.0653474627104673
188;-0.0653153881567305
189;-0.0652779187424746
190;-0.0651598113246549
191;-0.0657111345290143
192;-0.0660224358386202
193;-0.0663751743431042
194;-0.0666839394207001
195;-0.0664497485487815
196;-0.0662696884089993
197;-0.0568052026519667
198;-0.0551616876567005
199;-0.0544464363541813
200;-0.0540722731822676
201;-0.0541411574822792
202;-0.0538858036820572
203;-0.0535665274159405
204;-0.0552737318082863
205;-0.0552867914246148
206;-0.0541299169614523
207;-0.0553418946982171
208;-0.054404020015523
209;-0.0530072084040586
210;-0.0531546428898066
211;-0.147538299784775
212;-0.146923461865224
213;-0.145733938529774
214;-0.146385721741829
215;-0.142564507493919
216;-0.141220071504337
217;-0.140873245978375
218;-0.123093571441787
219;-0.123557192453048
220;-0.123074234675207
221;-0.123657369184022
222;-0.124693726931659
223;-0.123540491334114
224;-0.123246256587371
225;-0.11276294119444
226;-0.113481618793991
227;-0.113684626940734
228;-0.114899036085275
229;-0.115070032206306
230;-0.114738958130927
231;-0.115598379995271
232;-0.11521106454707
233;-0.115094644473697
234;-0.115166297955502
235;-0.114951824924429
236;-0.115152665544517
