Week;Usmrteni;AL
1.tyzden.2015;3;-150.177083
2.tyzden.2015;3;-126.273810
3.tyzden.2015;12;-66.583333
4.tyzden.2015;9;-61.321429
5.tyzden.2015;7;-108.482143
6.tyzden.2015;1;-131.577381
7.tyzden.2015;3;-48.827381
8.tyzden.2015;5;-92.672619
9.tyzden.2015;3;-125.095238
tyzden.2015;5;-145.083333
11.tyzden.2015;10;-70.404762
12.tyzden.2015;9;-245.625000
13.tyzden.2015;6;-111.982143
tyzden.2015;2;-78.220238
15.tyzden.2015;5;-112.619048
16.tyzden.2015;4;-199.851191
tyzden.2015;6;-85.154762
18.tyzden.2015;12;-70.505952
19.tyzden.2015;3;-94.029762
20.tyzden.2015;3;-193.880952
21.tyzden.2015;6;-64.934524
22.tyzden.2015;6;-53.863096
23.tyzden.2015;16;-45.857143
24.tyzden.2015;1;-178.601190
25.tyzden.2015;11;-119.946429
26.tyzden.2015;10;-217.904762
27.tyzden.2015;10;-86.065476
28.tyzden.2015;2;-115.583333
29.tyzden.2015;6;-118.946429
30.tyzden.2015;7;-115.077381
31.tyzden.2015;6;-123.029762
32.tyzden.2015;11;-127.773810
33.tyzden.2015;8;-186.904762
34.tyzden.2015;9;-194.142857
35.tyzden.2015;4;-242.875000
36.tyzden.2015;10;-122.601190
37.tyzden.2015;14;-297.994048
38.tyzden.2015;8;-200.690476
39.tyzden.2015;5;-75.101191
40.tyzden.2015;9;-153.827381
41.tyzden.2015;8;-335.517857
42.tyzden.2015;17;-211.636905
43.tyzden.2015;11;-76.845238
44.tyzden.2015;9;-69.964286
45.tyzden.2015;15;-246.880952
46.tyzden.2015;15;-231.190476
47.tyzden.2015;6;-97.291667
48.tyzden.2015;8;-46.720238
49.tyzden.2015;12;-157.821429
50.tyzden.2015;8;-162.190476
51.tyzden.2015;16;-170.428572
52.tyzden.2015;10;-121.515152
