Week;Zraneni;
1.tyzden.2015;6;
2.tyzden.2015;6;
3.tyzden.2015;22;
4.tyzden.2015;9;
5.tyzden.2015;24;
6.tyzden.2015;12;
7.tyzden.2015;4;
8.tyzden.2015;6;
9.tyzden.2015;6;
10.tyzden.2015;8;
11.tyzden.2015;10;
12.tyzden.2015;14;
13.tyzden.2015;12;
14.tyzden.2015;14;
15.tyzden.2015;15;
16.tyzden.2015;9;
17.tyzden.2015;11;
18.tyzden.2015;15;
19.tyzden.2015;17;
20.tyzden.2015;21;
21.tyzden.2015;19;
22.tyzden.2015;18;
23.tyzden.2015;33;
24.tyzden.2015;22;
25.tyzden.2015;11;
26.tyzden.2015;9;
27.tyzden.2015;18;
28.tyzden.2015;23;
29.tyzden.2015;15;
30.tyzden.2015;20;
31.tyzden.2015;21;
32.tyzden.2015;22;
33.tyzden.2015;14;
34.tyzden.2015;20;
35.tyzden.2015;16;
36.tyzden.2015;22;
37.tyzden.2015;21;
38.tyzden.2015;24;
39.tyzden.2015;18;
40.tyzden.2015;14;
41.tyzden.2015;14;
42.tyzden.2015;19;
43.tyzden.2015;14;
44.tyzden.2015;18;
45.tyzden.2015;18;
46.tyzden.2015;16;
47.tyzden.2015;19;
48.tyzden.2015;19;
49.tyzden.2015;15;
50.tyzden.2015;17;
51.tyzden.2015;21;
52.tyzden.2015;22;
