Week;Nehodovost;Proton30
1.tyzden.2016;241;0.106292
2.tyzden.2016;251;0.079226
3.tyzden.2016;235;0.083155
4.tyzden.2016;228;0.085952
5.tyzden.2016;219;0.081429
6.tyzden.2016;241;0.083333
7.tyzden.2016;239;0.083928
8.tyzden.2016;191;0.084583
9.tyzden.2016;208;0.087321
10.tyzden.2016;210;0.092738
11.tyzden.2016;235;0.089286
12.tyzden.2016;207;0.081429
13.tyzden.2016;175;0.085655
14.tyzden.2016;239;0.085714
15.tyzden.2016;257;0.083809
16.tyzden.2016;246;0.085655
17.tyzden.2016;236;0.086905
18.tyzden.2016;245;0.083155
19.tyzden.2016;269;0.089702
20.tyzden.2016;218;0.085000
21.tyzden.2016;277;0.085833
22.tyzden.2016;260;0.090119
23.tyzden.2016;289;0.089048
24.tyzden.2016;294;0.083036
25.tyzden.2016;302;0.085417
26.tyzden.2016;293;0.088691
27.tyzden.2016;256;0.088155
28.tyzden.2016;277;0.082083
29.tyzden.2016;236;0.088750
30.tyzden.2016;255;0.089226
31.tyzden.2016;251;0.087559
32.tyzden.2016;277;0.086905
33.tyzden.2016;274;0.086905
34.tyzden.2016;281;0.089881
35.tyzden.2016;231;0.088631
36.tyzden.2016;318;0.088274
37.tyzden.2016;299;0.090893
38.tyzden.2016;277;0.091905
39.tyzden.2016;246;0.088274
40.tyzden.2016;253;0.090833
41.tyzden.2016;252;0.091905
42.tyzden.2016;293;0.093571
43.tyzden.2016;260;0.088333
44.tyzden.2016;233;0.093452
45.tyzden.2016;275;0.093988
46.tyzden.2016;281;0.096131
47.tyzden.2016;280;0.089702
48.tyzden.2016;279;0.092976
49.tyzden.2016;300;0.093750
50.tyzden.2016;284;0.098333
51.tyzden.2016;275;0.091964
52.tyzden.2016;194;0.094722
