Week;Nehodovost;Proton30
1.tyzden.2014;148;0.070500
2.tyzden.2014;195;21.232679
3.tyzden.2014;216;0.078095
4.tyzden.2014;241;0.173988
5.tyzden.2014;249;0.069405
6.tyzden.2014;200;0.067262
7.tyzden.2014;228;0.068452
8.tyzden.2014;222;0.153869
9.tyzden.2014;196;2.288572
10.tyzden.2014;228;0.115059
11.tyzden.2014;234;0.066845
12.tyzden.2014;253;0.066369
13.tyzden.2014;211;0.085059
14.tyzden.2014;219;0.077441
15.tyzden.2014;250;0.069107
16.tyzden.2014;245;0.635059
17.tyzden.2014;224;0.068631
18.tyzden.2014;256;0.072143
19.tyzden.2014;256;0.078155
20.tyzden.2014;260;0.070952
21.tyzden.2014;310;0.068393
22.tyzden.2014;247;0.068631
23.tyzden.2014;276;0.070417
24.tyzden.2014;268;0.073631
25.tyzden.2014;245;0.064583
26.tyzden.2014;281;0.067798
27.tyzden.2014;248;0.069345
28.tyzden.2014;260;0.070476
29.tyzden.2014;281;0.067559
30.tyzden.2014;263;0.070357
31.tyzden.2014;238;0.070774
32.tyzden.2014;250;0.069881
33.tyzden.2014;246;0.070297
34.tyzden.2014;248;0.071905
35.tyzden.2014;255;0.081666
36.tyzden.2014;220;1.098452
37.tyzden.2014;250;1.258274
38.tyzden.2014;236;0.081607
39.tyzden.2014;247;0.095119
40.tyzden.2014;303;0.072440
41.tyzden.2014;279;0.074941
42.tyzden.2014;304;0.081964
43.tyzden.2014;298;0.072024
44.tyzden.2014;259;0.099702
45.tyzden.2014;253;0.086429
46.tyzden.2014;260;0.073333
47.tyzden.2014;253;0.077679
48.tyzden.2014;234;0.073750
49.tyzden.2014;276;0.068155
50.tyzden.2014;273;0.125774
51.tyzden.2014;323;0.102857
52.tyzden.2014;305;0.078458
