Week;Nehodovost;Proton30
1.tyzden.2012;233;0.088854
2.tyzden.2012;256;0.085476
3.tyzden.2012;292;0.098929
4.tyzden.2012;250;64.784048
5.tyzden.2012;199;0.633155
6.tyzden.2012;208;0.083631
7.tyzden.2012;309;0.081131
8.tyzden.2012;225;0.092143
9.tyzden.2012;207;0.080060
10.tyzden.2012;201;122.756428
11.tyzden.2012;209;2.528750
12.tyzden.2012;235;0.081726
13.tyzden.2012;198;0.086667
14.tyzden.2012;215;0.078869
15.tyzden.2012;201;0.080952
16.tyzden.2012;225;0.083512
17.tyzden.2012;294;0.079048
18.tyzden.2012;269;0.082202
19.tyzden.2012;257;0.081190
20.tyzden.2012;248;3.587857
21.tyzden.2012;258;0.097738
22.tyzden.2012;250;0.086667
23.tyzden.2012;292;0.077024
24.tyzden.2012;280;0.098274
25.tyzden.2012;301;0.080119
26.tyzden.2012;279;0.079643
27.tyzden.2012;275;0.420655
28.tyzden.2012;303;0.627202
29.tyzden.2012;249;1.625595
30.tyzden.2012;253;1.662679
31.tyzden.2012;258;0.101726
32.tyzden.2012;258;0.071964
33.tyzden.2012;274;0.071369
34.tyzden.2012;277;0.074167
35.tyzden.2012;265;0.123333
36.tyzden.2012;294;0.109762
37.tyzden.2012;297;0.074107
38.tyzden.2012;270;0.078631
39.tyzden.2012;270;0.213095
40.tyzden.2012;287;0.074583
41.tyzden.2012;273;0.070119
42.tyzden.2012;337;0.073691
43.tyzden.2012;289;0.075238
44.tyzden.2012;268;0.074405
45.tyzden.2012;290;0.120357
46.tyzden.2012;263;0.074941
47.tyzden.2012;299;0.071726
48.tyzden.2012;251;0.071547
49.tyzden.2012;344;0.074107
50.tyzden.2012;344;0.075833
51.tyzden.2012;342;0.074107
52.tyzden.2012;208;0.075625
