Week;Nehodovost;Dst
1.tyzden.2017;216;-14.307292
2.tyzden.2017;252;-6.994048
3.tyzden.2017;210;-7.148809
4.tyzden.2017;188;-8.214286
5.tyzden.2017;242;-15.630952
6.tyzden.2017;218;-6.845238
7.tyzden.2017;240;-5.452381
8.tyzden.2017;203;-8.547619
9.tyzden.2017;228;-21.476190
10.tyzden.2017;185;-19.785714
11.tyzden.2017;217;-1.892857
12.tyzden.2017;223;-5.738095
13.tyzden.2017;279;-26.565476
14.tyzden.2017;226;-8.250000
15.tyzden.2017;257;-1.934524
16.tyzden.2017;208;-12.910714
17.tyzden.2017;244;-17.625000
18.tyzden.2017;267;7.636905
19.tyzden.2017;258;11.744048
20.tyzden.2017;276;-3.458333
21.tyzden.2017;305;-13.785714
22.tyzden.2017;294;-8.494047
23.tyzden.2017;266;3.345238
24.tyzden.2017;263;-5.136905
25.tyzden.2017;274;-4.636905
26.tyzden.2017;343;-0.315476
27.tyzden.2017;272;-3.470238
28.tyzden.2017;295;-8.380952
29.tyzden.2017;287;-23.541667
30.tyzden.2017;272;-12.880952
31.tyzden.2017;307;-0.005952
32.tyzden.2017;268;2.642857
33.tyzden.2017;270;-6.964286
34.tyzden.2017;257;-14.267857
35.tyzden.2017;261;-12.952381
36.tyzden.2017;236;-36.238095
37.tyzden.2017;316;-27.625000
38.tyzden.2017;273;-16.690476
39.tyzden.2017;270;-24.136905
40.tyzden.2017;265;-9.261905
41.tyzden.2017;261;-19.755952
42.tyzden.2017;291;-11.142857
43.tyzden.2017;311;-10.464286
44.tyzden.2017;218;-1.821429
45.tyzden.2017;279;-24.660714
46.tyzden.2017;271;-9.380952
47.tyzden.2017;322;-9.565476
48.tyzden.2017;303;2.345238
49.tyzden.2017;339;-7.994048
50.tyzden.2017;297;0.571428
51.tyzden.2017;311;0.404762
52.tyzden.2017;211;1.279762
