Week;Usmrteni;Lyman
1.tyzden.2010;9;3.623333
2.tyzden.2010;6;3.784286
3.tyzden.2010;8;3.682857
4.tyzden.2010;5;3.687143
5.tyzden.2010;6;3.654286
6.tyzden.2010;4;3.891429
7.tyzden.2010;9;3.847143
8.tyzden.2010;6;3.765714
9.tyzden.2010;0;3.714286
10.tyzden.2010;2;3.802857
11.tyzden.2010;7;3.898571
12.tyzden.2010;9;3.817143
13.tyzden.2010;5;3.737143
14.tyzden.2010;3;3.801429
15.tyzden.2010;4;3.760000
16.tyzden.2010;4;3.760000
17.tyzden.2010;10;3.805714
18.tyzden.2010;4;3.870000
19.tyzden.2010;5;3.730000
20.tyzden.2010;3;3.675714
21.tyzden.2010;3;3.751429
22.tyzden.2010;5;3.740000
23.tyzden.2010;6;3.671429
24.tyzden.2010;9;3.725714
25.tyzden.2010;3;3.775714
26.tyzden.2010;9;3.815714
27.tyzden.2010;10;3.770000
28.tyzden.2010;10;3.864286
29.tyzden.2010;8;3.862857
30.tyzden.2010;4;3.912857
31.tyzden.2010;3;3.880000
32.tyzden.2010;6;3.958571
33.tyzden.2010;5;3.840000
34.tyzden.2010;19;3.750000
35.tyzden.2010;6;3.814286
36.tyzden.2010;9;3.855714
37.tyzden.2010;5;3.892857
38.tyzden.2010;10;3.914286
39.tyzden.2010;7;3.848571
40.tyzden.2010;5;3.750000
41.tyzden.2010;10;3.837143
42.tyzden.2010;7;3.922857
43.tyzden.2010;12;3.845714
44.tyzden.2010;5;3.691429
45.tyzden.2010;9;3.912857
46.tyzden.2010;11;3.934286
47.tyzden.2010;16;3.832857
48.tyzden.2010;5;3.784286
49.tyzden.2010;8;3.912857
50.tyzden.2010;2;3.912857
51.tyzden.2010;8;3.888571
52.tyzden.2010;1;3.741667
1.tyzden.2011;11;3.966667
2.tyzden.2011;6;3.798571
3.tyzden.2011;9;3.820000
4.tyzden.2011;6;3.710000
5.tyzden.2011;1;3.872857
6.tyzden.2011;12;3.925714
7.tyzden.2011;6;4.040000
8.tyzden.2011;2;3.764286
9.tyzden.2011;11;4.045714
10.tyzden.2011;9;4.175714
11.tyzden.2011;8;3.957143
12.tyzden.2011;6;3.964286
13.tyzden.2011;10;4.427143
14.tyzden.2011;7;4.360000
15.tyzden.2011;6;4.217143
16.tyzden.2011;10;4.148571
17.tyzden.2011;10;4.364286
18.tyzden.2011;6;4.327143
19.tyzden.2011;2;4.192857
20.tyzden.2011;14;4.011429
21.tyzden.2011;10;4.102857
22.tyzden.2011;11;4.328571
23.tyzden.2011;9;4.132857
24.tyzden.2011;6;4.098571
25.tyzden.2011;9;4.205714
26.tyzden.2011;7;4.072857
27.tyzden.2011;10;3.988571
28.tyzden.2011;17;4.202857
29.tyzden.2011;10;4.192857
30.tyzden.2011;6;4.095714
31.tyzden.2011;5;4.142857
32.tyzden.2011;6;4.115714
33.tyzden.2011;10;4.105714
34.tyzden.2011;11;4.230000
35.tyzden.2011;4;4.255714
36.tyzden.2011;6;4.262857
37.tyzden.2011;10;4.471429
38.tyzden.2011;16;4.542857
39.tyzden.2011;6;4.522857
40.tyzden.2011;12;4.535714
41.tyzden.2011;11;4.605714
42.tyzden.2011;15;4.692857
43.tyzden.2011;16;4.544286
44.tyzden.2011;6;4.578571
45.tyzden.2011;5;5.002857
46.tyzden.2011;12;4.824286
47.tyzden.2011;4;4.687143
48.tyzden.2011;11;4.718571
49.tyzden.2011;8;4.928571
50.tyzden.2011;10;4.662857
51.tyzden.2011;14;4.685714
52.tyzden.2011;9;4.596667
1.tyzden.2012;11;4.605000
2.tyzden.2012;5;4.414286
3.tyzden.2012;8;4.585714
4.tyzden.2012;6;4.417143
5.tyzden.2012;3;4.427143
6.tyzden.2012;0;4.241429
7.tyzden.2012;3;4.315714
8.tyzden.2012;16;4.307143
9.tyzden.2012;2;4.400000
10.tyzden.2012;3;4.327143
11.tyzden.2012;9;4.241429
12.tyzden.2012;9;4.280000
13.tyzden.2012;3;4.410000
14.tyzden.2012;1;4.277143
15.tyzden.2012;4;4.214286
16.tyzden.2012;10;4.544286
17.tyzden.2012;8;4.445714
18.tyzden.2012;7;4.288571
19.tyzden.2012;9;4.370000
20.tyzden.2012;2;4.622857
21.tyzden.2012;14;4.455714
22.tyzden.2012;17;4.390000
23.tyzden.2012;5;4.625714
24.tyzden.2012;9;4.582857
25.tyzden.2012;11;4.131429
26.tyzden.2012;13;4.287143
27.tyzden.2012;11;4.534286
28.tyzden.2012;9;4.598571
29.tyzden.2012;6;4.100000
30.tyzden.2012;13;4.312857
31.tyzden.2012;1;4.635714
32.tyzden.2012;2;4.571429
33.tyzden.2012;13;4.110000
34.tyzden.2012;12;4.290000
35.tyzden.2012;4;4.662857
36.tyzden.2012;11;4.617143
37.tyzden.2012;7;4.124286
38.tyzden.2012;13;4.408571
39.tyzden.2012;12;4.858571
40.tyzden.2012;14;4.332857
41.tyzden.2012;6;4.122857
42.tyzden.2012;11;4.764286
43.tyzden.2012;7;4.712857
44.tyzden.2012;6;4.151429
45.tyzden.2012;3;4.180000
46.tyzden.2012;9;4.815714
47.tyzden.2012;8;4.661429
48.tyzden.2012;8;4.221429
49.tyzden.2012;6;4.181429
50.tyzden.2012;7;4.458571
51.tyzden.2012;16;4.404286
52.tyzden.2012;8;4.257500
1.tyzden.2013;5;4.513333
2.tyzden.2013;3;4.755714
3.tyzden.2013;2;4.528571
4.tyzden.2013;6;4.240000
5.tyzden.2013;4;4.222857
6.tyzden.2013;4;4.394286
7.tyzden.2013;3;4.325714
8.tyzden.2013;1;4.214286
9.tyzden.2013;10;4.152857
10.tyzden.2013;6;4.528571
11.tyzden.2013;3;4.528571
12.tyzden.2013;8;4.202857
13.tyzden.2013;6;4.191429
14.tyzden.2013;1;4.624286
15.tyzden.2013;5;4.657143
16.tyzden.2013;4;4.190000
17.tyzden.2013;2;4.301429
18.tyzden.2013;6;4.790000
19.tyzden.2013;2;4.558571
20.tyzden.2013;3;4.624286
21.tyzden.2013;3;4.545714
22.tyzden.2013;1;4.602857
23.tyzden.2013;1;4.387143
24.tyzden.2013;7;4.334286
25.tyzden.2013;5;4.544286
26.tyzden.2013;7;4.444286
27.tyzden.2013;7;4.402857
28.tyzden.2013;9;4.445714
29.tyzden.2013;12;4.562857
30.tyzden.2013;4;4.430000
31.tyzden.2013;16;4.340000
32.tyzden.2013;10;4.364286
33.tyzden.2013;10;4.587143
34.tyzden.2013;5;4.572857
35.tyzden.2013;3;4.352857
36.tyzden.2013;7;4.267143
37.tyzden.2013;8;4.295714
38.tyzden.2013;12;4.272857
39.tyzden.2013;5;4.494286
40.tyzden.2013;6;4.254286
41.tyzden.2013;10;4.458571
42.tyzden.2013;6;4.508571
43.tyzden.2013;14;4.697143
44.tyzden.2013;3;4.520000
45.tyzden.2013;6;4.577143
46.tyzden.2013;9;4.795714
