"Year";"Correlation";"parameter"
2016;-0.271736080348055;"Lyman alpha solar index"
2016;-0.226687303257313;"Proton flux over 10 MeV"
2016;-0.199879795521912;"R sunspot number"
2016;0.161022363656086;"Polar cap north (Thule)"
2016;0.153736145589358;"Proton flux over 60 MeV"
2016;0.145760309049067;"Polar cap south (Vostok)"
2016;-0.136752845701175;"Solar index_F10.7"
2016;0.0971907554917321;"Kp index"
2016;0.0901839566334014;"Ap index"
2016;0.0726824434479802;"Solar wind temperature"
2016;-0.0718037884405399;"Proton flux over 30 MeV"
2016;0.063974184688747;"Solar wind speed"
2016;-0.0226508370290865;"Dst index"
2016;-0.00349668633868454;"Solar wind density"
