"Year";"Correlation";"parameter"
"2010-2015";-0.651015080494304;"Lyman alpha solar index"
"2010-2015";-0.593221355318525;"Solar index_F10.7"
"2010-2015";-0.540438355953415;"R sunspot number"
"2010-2015";-0.256523230582142;"Kp index"
"2010-2015";-0.213085918277551;"Ap index"
"2010-2015";-0.158818626664763;"Polar cap south (Vostok)"
"2010-2015";-0.137700842666454;"Solar wind density"
"2010-2015";-0.133546371547754;"Polar cap north (Thule)"
"2010-2015";0.114606044397129;"Dst index"
"2010-2015";-0.0928434901628303;"Solar wind temperature"
"2010-2015";-0.0925520264393234;"Proton flux over 10 MeV"
"2010-2015";-0.092156828508461;"Proton flux over 30 MeV"
"2010-2015";-0.0809227214769851;"Proton flux over 60 MeV"
"2010-2015";-0.0430383584058755;"Solar wind speed"
