Date;Lyman;
1.1.-9.1.2010;0.006163;
10.1.-16.1.2010;0.006435;
17.1.-23.1.2010;0.006263;
24.1.-30.1.2010;0.006271;
31.1.-6.2.2010;0.006215;
7.2.-13.2.2010;0.006616;
14.2.-20.2.2010;0.006543;
21.2.-27.2.2010;0.006400;
28.2.-6.3.2010;0.006312;
7.3.-13.3.2010;0.006470;
14.3.-20.3.2010;0.006628;
21.3.-27.3.2010;0.006491;
28.3.-3.4.2010;0.006356;
4.4.-10.4.2010;0.006466;
11.4.-17.4.2010;0.006390;
18.4.-24.4.2010;0.006393;
25.4.-1.5.2010;0.006471;
2.5.-8.5.2010;0.006581;
9.5.-15.5.2010;0.006344;
16.5.-22.5.2010;0.006254;
23.5.-29.5.2010;0.006380;
30.5.-5.6.2010;0.006357;
6.6.-12.6.2010;0.006244;
13.6.-19.6.2010;0.006335;
20.6.-26.6.2010;0.006420;
27.6.-3.7.2010;0.006488;
4.7.-10.7.2010;0.006409;
11.7.-17.7.2010;0.006568;
18.7.-24.7.2010;0.006569;
25.7.-31.7.2010;0.006650;
1.8.-7.8.2010;0.006599;
8.8.-14.8.2010;0.006730;
15.8.-21.8.2010;0.006532;
22.8.-28.8.2010;0.006374;
29.8.-4.9.2010;0.006486;
5.9.-11.9.2010;0.006553;
12.9.-18.9.2010;0.006616;
19.9.-25.9.2010;0.006657;
26.9.-2.10.2010;0.006670;
3.10.-9.10.2010;0.006375;
10.10.-16.10.2010;0.006522;
17.10.-23.10.2010;0.006670;
24.10.-30.10.2010;0.006539;
31.10.-6.11.2010;0.006368;
7.11.-13.11.2010;0.006655;
14.11.-20.11.2010;0.006688;
21.11.-27.11.2010;0.006517;
28.11.-4.12.2010;0.006430;
5.12.-11.12.2010;0.006656;
12.12.-18.12.2010;0.006653;
19.12.-25.12.2010;0.006614;
26.12.-31.12.2010;0.006404;
