Date;Lyman;
1.1.-8.1.2017;0.006289;
9.1.-15.1.2017;0.006227;
16.1.-22.1.2017;0.006535;
23.1.-29.1.2017;0.006496;
30.1.-5.2.2017;0.006211;
6.2.-12.2.2017;0.006179;
13.2.-19.2.2017;0.006349;
20.2.-26.2.2017;0.006481;
27.2.-5.3.2017;0.006371;
6.3.-12.3.2017;0.006165;
13.3.-19.3.2017;0.006195;
20.3.-26.3.2017;0.006289;
27.3.-2.4.2017;0.006318;
3.4.-9.4.2017;0.006188;
10.4.-16.4.2017;0.006277;
17.4.-23.4.2017;0.006466;
24.4.-30.4.2017;0.006485;
1.5.-7.5.2017;0.006177;
8.5.-14.5.2017;0.006143;
15.5.-21.5.2017;0.006335;
22.5.-28.5.2017;0.006392;
29.5.-4.6.2017;0.006223;
5.6.-11.6.2017;0.006322;
12.6.-18.6.2017;0.006445;
19.6.-25.6.2017;0.006364;
26.6.-2.7.2017;0.006216;
3.7.-9.7.2017;0.006234;
10.7.-16.7.2017;0.006442;
17.7.-23.7.2017;0.006198;
24.7.-30.7.2017;0.006158;
31.7.-6.8.2017;0.006213;
7.8.-13.8.2017;0.006328;
14.8.-20.8.2017;0.006195;
21.8.-27.8.2017;0.006261;
28.8.-3.9.2017;0.006361;
4.9.-10.9.2017;0.006706;
11.9.-17.9.2017;0.006225;
18.9.-24.9.2017;0.006204;
25.9.-1.10.2017;0.006577;
2.10.-8.10.2017;0.006468;
9.10.-15.10.2017;0.006150;
16.10.-22.10.2017;0.006241;
23.10.-29.10.2017;0.006511;
30.10.-5.11.2017;0.006319;
6.11.-12.11.2017;0.006070;
13.11.-19.11.2017;0.006203;
20.11.-26.11.2017;0.006411;
27.11.-3.12.2017;0.006146;
4.12.-10.12.2017;0.006041;
11.12.-17.12.2017;0.006227;
18.12.-24.12.2017;0.006294;
25.12.-31.12.2017;0.006126;
