Date;Lyman;
1.1.-5.1.2014;0.008180;
6.1.-12.1.2014;0.008590;
13.1.-19.1.2014;0.007862;
20.1.-26.1.2014;0.008144;
27.1.-2.2.2014;0.008165;
3.2.-9.2.2014;0.008618;
10.2.-16.2.2014;0.008079;
17.2.-23.2.2014;0.008070;
24.2.-2.3.2014;0.008625;
3.3.-9.3.2014;0.008452;
10.3.-16.3.2014;0.008089;
17.3.-23.3.2014;0.008403;
24.3.-30.3.2014;0.008588;
31.3.-6.4.2014;0.008338;
7.4.-13.4.2014;0.008005;
14.4.-20.4.2014;0.008635;
21.4.-27.4.2014;0.008141;
28.4.-4.5.2014;0.007853;
5.5.-11.5.2014;0.008012;
12.5.-18.5.2014;0.008431;
19.5.-25.5.2014;0.007792;
26.5.-1.6.2014;0.007495;
2.6.-8.6.2014;0.007807;
9.6.-15.6.2014;0.008270;
16.6.-22.6.2014;0.007587;
23.6.-29.6.2014;0.007181;
30.6.-6.7.2014;0.008639;
7.7.-13.7.2014;0.008609;
14.7.-20.7.2014;0.007194;
21.7.-27.7.2014;0.007074;
28.7.-3.8.2014;0.008543;
4.8.-10.8.2014;0.008126;
11.8.-17.8.2014;0.007265;
18.8.-24.8.2014;0.007647;
25.8.-31.8.2014;0.008157;
1.9.-7.9.2014;0.007927;
8.9.-14.9.2014;0.008142;
15.9.-21.9.2014;0.007847;
22.9.-28.9.2014;0.008161;
29.9.-5.10.2014;0.008324;
6.10.-12.10.2014;0.008064;
13.10.-19.10.2014;0.007846;
20.10.-26.10.2014;0.008529;
27.10.-2.11.2014;0.008056;
3.11.-9.11.2014;0.007910;
10.11.-16.11.2014;0.008185;
17.11.-23.11.2014;0.008675;
24.11.-30.11.2014;0.008458;
1.12.-7.12.2014;0.008153;
8.12.-14.12.2014;0.008360;
15.12.-21.12.2014;0.008981;
22.12.-31.12.2014;0.008068;
