Date;Lyman;
1.1.-6.1.2013;0.007674;
7.1.-13.1.2013;0.008087;
14.1.-20.1.2013;0.007700;
21.1.-27.1.2013;0.007206;
28.1.-3.2.2013;0.007179;
4.2.-10.2.2013;0.007470;
11.2.-17.2.2013;0.007353;
18.2.-24.2.2013;0.007170;
25.2.-3.3.2013;0.007062;
4.3.-10.3.2013;0.007698;
11.3.-17.3.2013;0.007697;
18.3.-24.3.2013;0.007145;
25.3.-31.3.2013;0.007126;
1.4.-7.4.2013;0.007860;
8.4.-14.4.2013;0.007922;
15.4.-21.4.2013;0.007125;
22.4.-28.4.2013;0.007313;
29.4.-5.5.2013;0.008149;
6.5.-12.5.2013;0.007750;
13.5.-19.5.2013;0.007862;
20.5.-26.5.2013;0.007728;
27.5.-2.6.2013;0.007829;
3.6.-9.6.2013;0.007458;
10.6.-16.6.2013;0.007376;
17.6.-23.6.2013;0.007725;
24.6.-30.6.2013;0.007556;
1.7.-7.7.2013;0.007487;
8.7.-14.7.2013;0.007562;
15.7.-21.7.2013;0.007849;
22.7.-28.7.2013;0.007609;
29.7.-4.8.2013;0.007534;
5.8.-11.8.2013;0.007491;
12.8.-18.8.2013;0.007806;
19.8.-25.8.2013;0.007885;
26.8.-1.9.2013;0.007529;
2.9.-8.9.2013;0.007344;
9.9.-15.9.2013;0.007304;
16.9.-22.9.2013;0.007244;
23.9.-29.9.2013;0.007664;
30.9.-6.10.2013;0.007308;
7.10.-13.10.2013;0.007649;
14.10.-20.10.2013;0.007687;
21.10.-27.10.2013;0.008017;
28.10.-3.11.2013;0.007759;
4.11.-10.11.2013;0.007908;
11.11.-17.11.2013;0.008304;
18.11.-24.11.2013;0.008192;
25.11.-1.12.2013;0.007526;
2.12.-8.12.2013;0.008013;
9.12.-15.12.2013;0.008722;
16.12.-22.12.2013;0.008112;
23.12.-31.12.2013;0.007711;
