Date;Lyman;
1.1.-7.1.2018;0.006053;
8.1.-14.1.2018;0.006137;
15.1.-21.1.2018;0.006165;
22.1.-28.1.2018;0.006018;
29.1.-4.2.2018;0.006031;
5.2.-11.2.2018;0.006167;
12.2.-18.2.2018;0.006153;
19.2.-25.2.2018;0.005950;
26.2.-4.3.2018;0.005948;
5.3.-11.3.2018;0.006033;
12.3.-18.3.2018;0.006029;
19.3.-25.3.2018;0.005974;
26.3.-1.4.2018;0.005967;
2.4.-8.4.2018;0.006054;
9.4.-15.4.2018;0.006066;
16.4.-22.4.2018;0.006012;
23.4.-29.4.2018;0.006039;
30.4.-6.5.2018;0.005998;
7.5.-13.5.2018;0.006098;
14.5.-20.5.2018;0.006058;
21.5.-27.5.2018;0.006093;
28.5.-3.6.2018;0.006143;
4.6.-10.6.2018;0.006102;
11.6.-17.6.2018;0.006122;
18.6.-24.6.2018;0.006201;
25.6.-1.7.2018;0.006118;
2.7.-8.7.2018;0.006018;
9.7.-15.7.2018;0.006185;
16.7.-22.7.2018;0.006195;
23.7.-29.7.2018;0.006040;
30.7.-5.8.2018;0.006054;
6.8.-12.8.2018;0.006132;
13.8.-19.8.2018;0.006036;
20.8.-26.8.2018;0.006019;
27.8.-2.9.2018;0.005990;
3.9.-9.9.2018;0.006046;
10.9.-16.9.2018;0.006070;
17.9.-23.9.2018;0.006005;
24.9.-30.9.2018;0.006001;
1.10.-7.10.2018;0.006025;
8.10.-14.10.2018;0.006066;
15.10.-21.10.2018;0.006021;
22.10.-28.10.2018;0.005988;
29.10.-4.11.2018;0.005987;
5.11.-11.11.2018;0.005953;
12.11.-18.11.2018;0.005976;
19.11.-25.11.2018;0.005984;
26.11.-2.12.2018;0.005956;
3.12.-9.12.2018;0.005964;
10.12.-16.12.2018;0.006029;
17.12.-23.12.2018;0.005990;
24.12.-30.12.2018;0.006008;
