Date;Lyman;
1.1.-8.1.2012;0.007828;
9.1.-15.1.2012;0.007505;
16.1.-22.1.2012;0.007797;
23.1.-29.1.2012;0.007512;
30.1.-5.2.2012;0.007528;
6.2.-12.2.2012;0.007209;
13.2.-19.2.2012;0.007339;
20.2.-26.2.2012;0.007323;
27.2.-4.3.2012;0.007480;
5.3.-11.3.2012;0.007359;
12.3.-18.3.2012;0.007207;
19.3.-25.3.2012;0.007279;
26.3.-1.4.2012;0.007501;
2.4.-8.4.2012;0.007271;
9.4.-15.4.2012;0.007165;
16.4.-22.4.2012;0.007726;
23.4.-29.4.2012;0.007559;
30.4.-6.5.2012;0.007293;
7.5.-13.5.2012;0.007430;
14.5.-20.5.2012;0.007861;
21.5.-27.5.2012;0.007579;
28.5.-3.6.2012;0.007462;
4.6.-10.6.2012;0.007867;
11.6.-17.6.2012;0.007795;
18.6.-24.6.2012;0.007021;
25.6.-1.7.2012;0.007287;
2.7.-8.7.2012;0.007711;
9.7.-15.7.2012;0.007819;
16.7.-22.7.2012;0.006970;
23.7.-29.7.2012;0.007332;
30.7.-5.8.2012;0.007883;
6.8.-12.8.2012;0.007771;
13.8.-19.8.2012;0.006987;
20.8.-26.8.2012;0.007292;
27.8.-2.9.2012;0.007928;
3.9.-9.9.2012;0.007849;
10.9.-16.9.2012;0.007015;
17.9.-23.9.2012;0.007493;
24.9.-30.9.2012;0.008261;
1.10.-7.10.2012;0.007367;
8.10.-14.10.2012;0.007010;
15.10.-21.10.2012;0.008100;
22.10.-28.10.2012;0.008009;
29.10.-4.11.2012;0.007114;
5.11.-11.11.2012;0.007131;
12.11.-18.11.2012;0.008246;
19.11.-25.11.2012;0.007932;
26.11.-2.12.2012;0.007138;
3.12.-9.12.2012;0.007044;
10.12.-16.12.2012;0.007579;
17.12.-23.12.2012;0.007487;
24.12.-31.12.2012;0.007239;
