Date;Lyman;
1.1.-10.1.2016;0.007238;
11.1.-17.1.2016;0.007416;
18.1.-24.1.2016;0.007244;
25.1.-31.1.2016;0.007146;
1.2.-7.2.2016;0.007505;
8.2.-14.2.2016;0.007521;
15.2.-21.2.2016;0.007200;
22.2.-28.2.2016;0.007095;
29.2.-6.3.2016;0.007329;
7.3.-13.3.2016;0.007173;
14.3.-20.3.2016;0.007010;
21.3.-27.3.2016;0.006887;
28.3.-3.4.2016;0.006903;
4.4.-10.4.2016;0.006825;
11.4.-17.4.2016;0.006955;
18.4.-24.4.2016;0.006685;
25.4.-1.5.2016;0.006878;
2.5.-8.5.2016;0.006928;
9.5.-15.5.2016;0.006923;
16.5.-22.5.2016;0.006922;
23.5.-29.5.2016;0.006836;
30.5.-5.6.2016;0.006866;
6.6.-12.6.2016;0.006744;
13.6.-19.6.2016;0.006901;
20.6.-26.6.2016;0.006708;
27.6.-3.7.2016;0.006635;
4.7.-10.7.2016;0.006721;
11.7.-17.7.2016;0.007197;
18.7.-24.7.2016;0.006738;
25.7.-31.7.2016;0.006449;
1.8.-7.8.2016;0.006548;
8.8.-14.8.2016;0.006952;
15.8.-21.8.2016;0.006619;
22.8.-28.8.2016;0.006604;
29.8.-4.9.2016;0.006666;
5.9.-11.9.2016;0.006871;
12.9.-18.9.2016;0.006626;
19.9.-25.9.2016;0.006731;
26.9.-2.10.2016;0.006566;
3.10.-9.10.2016;0.006853;
10.10.-16.10.2016;0.006653;
17.10.-23.10.2016;0.006458;
24.10.-30.10.2016;0.006361;
31.10.-6.11.2016;0.006611;
7.11.-13.11.2016;0.006408;
14.11.-20.11.2016;0.006462;
21.11.-27.11.2016;0.006409;
28.11.-4.12.2016;0.006653;
5.12.-11.12.2016;0.006301;
12.12.-18.12.2016;0.006222;
19.12.-25.12.2016;0.006311;
26.12.-31.12.2016;0.006372;
