Date;Lyman;
1.1.-9.1.2011;0.006713;
10.1.-16.1.2011;0.006459;
17.1.-23.1.2011;0.006492;
24.1.-30.1.2011;0.006350;
31.1.-6.2.2011;0.006585;
7.2.-13.2.2011;0.006675;
14.2.-20.2.2011;0.006870;
21.2.-27.2.2011;0.006400;
28.2.-6.3.2011;0.006879;
7.3.-13.3.2011;0.007101;
14.3.-20.3.2011;0.006782;
21.3.-27.3.2011;0.006741;
28.3.-3.4.2011;0.007543;
4.4.-10.4.2011;0.007415;
11.4.-17.4.2011;0.007168;
18.4.-24.4.2011;0.007053;
25.4.-1.5.2011;0.007422;
2.5.-8.5.2011;0.007355;
9.5.-15.5.2011;0.007129;
16.5.-22.5.2011;0.006879;
23.5.-29.5.2011;0.006977;
30.5.-5.6.2011;0.007360;
6.6.-12.6.2011;0.007028;
13.6.-19.6.2011;0.006973;
20.6.-26.6.2011;0.007151;
27.6.-3.7.2011;0.006925;
4.7.-10.7.2011;0.006780;
11.7.-17.7.2011;0.007145;
18.7.-24.7.2011;0.007129;
25.7.-31.7.2011;0.006962;
1.8.-7.8.2011;0.007045;
8.8.-14.8.2011;0.007000;
15.8.-21.8.2011;0.006982;
22.8.-28.8.2011;0.007190;
29.8.-4.9.2011;0.007235;
5.9.-11.9.2011;0.007286;
12.9.-18.9.2011;0.007709;
19.9.-25.9.2011;0.007723;
26.9.-2.10.2011;0.007691;
3.10.-9.10.2011;0.007713;
10.10.-16.10.2011;0.007831;
17.10.-23.10.2011;0.007978;
24.10.-30.10.2011;0.007728;
31.10.-6.11.2011;0.007783;
7.11.-13.11.2011;0.008506;
14.11.-20.11.2011;0.008200;
21.11.-27.11.2011;0.007968;
28.11.-4.12.2011;0.008024;
5.12.-11.12.2011;0.008383;
12.12.-18.12.2011;0.007928;
19.12.-25.12.2011;0.007967;
26.12.-31.12.2011;0.007818;
