"Year";"Correlation";"parameter"
"2013-2015";-0.216398529155075;"Lyman alpha solar index"
"2013-2015";-0.159124434513504;"Solar index_F10.7"
"2013-2015";-0.153185767641961;"R sunspot number"
"2013-2015";0.10769121128381;"Ap index"
"2013-2015";0.102216025470053;"Polar cap south (Vostok)"
"2013-2015";0.0672504890337265;"Proton flux over 10 MeV"
"2013-2015";0.0604522451176818;"Proton flux over 30 MeV"
"2013-2015";0.0541971570945485;"Solar wind density"
"2013-2015";0.0479032052978707;"Solar wind temperature"
"2013-2015";0.0455733460766644;"Kp index"
"2013-2015";0.0368788648157059;"Proton flux over 60 MeV"
"2013-2015";0.0144837450200376;"Dst index"
"2013-2015";0.00476132942805468;"Solar wind speed"
"2013-2015";0.000307890823199346;"Polar cap north (Thule)"
