Week;Usmrteni;Dst
1.tyzden.2018;0;-3.630952
2.tyzden.2018;2;-2.708333
3.tyzden.2018;8;-3.839285
4.tyzden.2018;4;-7.500000
5.tyzden.2018;6;-0.755952
6.tyzden.2018;4;-1.785714
7.tyzden.2018;4;-4.119048
8.tyzden.2018;0;-13.250000
9.tyzden.2018;2;-10.434524
10.tyzden.2018;8;0.023810
11.tyzden.2018;1;-12.154762
12.tyzden.2018;7;-14.994048
13.tyzden.2018;5;-4.059524
14.tyzden.2018;5;3.148810
15.tyzden.2018;11;-11.363095
16.tyzden.2018;3;-12.041667
17.tyzden.2018;8;-5.107143
18.tyzden.2018;2;-3.928571
19.tyzden.2018;8;-19.559524
20.tyzden.2018;5;-6.732143
21.tyzden.2018;7;2.363095
22.tyzden.2018;10;-4.511905
23.tyzden.2018;8;-7.148810
24.tyzden.2018;3;2.666667
25.tyzden.2018;4;-10.392857
26.tyzden.2018;7;-14.833333
27.tyzden.2018;8;2.708333
28.tyzden.2018;5;2.535714
29.tyzden.2018;6;-0.833333
30.tyzden.2018;4;-0.886905
31.tyzden.2018;9;4.660714
32.tyzden.2018;12;1.773809
33.tyzden.2018;8;-10.940476
34.tyzden.2018;8;-20.946428
35.tyzden.2018;6;-26.666667
36.tyzden.2018;5;-1.083333
37.tyzden.2018;2;-16.315476
38.tyzden.2018;11;-5.494047
39.tyzden.2018;12;1.273809
40.tyzden.2018;10;-4.875000
41.tyzden.2018;4;-22.666667
42.tyzden.2018;4;-4.136905
43.tyzden.2018;5;-1.880952
44.tyzden.2018;7;3.214286
45.tyzden.2018;8;-20.708333
46.tyzden.2018;7;-4.083333
47.tyzden.2018;5;2.577381
48.tyzden.2018;13;2.761905
49.tyzden.2018;7;-4.625000
50.tyzden.2018;8;-4.476191
51.tyzden.2018;8;-2.101191
52.tyzden.2018;4;-2.077381
