Week;Usmrteni;Dst
1.tyzden.2013;5;7.041667
2.tyzden.2013;3;5.291667
3.tyzden.2013;2;-9.345238
4.tyzden.2013;6;-7.125000
5.tyzden.2013;4;-3.345238
6.tyzden.2013;4;-2.851191
7.tyzden.2013;3;-9.440476
8.tyzden.2013;1;-13.630953
9.tyzden.2013;10;-9.744047
10.tyzden.2013;6;-1.333333
11.tyzden.2013;3;-7.089286
12.tyzden.2013;8;-29.476190
13.tyzden.2013;6;-20.714286
14.tyzden.2013;1;-12.273810
15.tyzden.2013;5;1.547619
16.tyzden.2013;4;0.904762
17.tyzden.2013;2;-9.494048
18.tyzden.2013;6;-20.142857
19.tyzden.2013;2;-0.482143
20.tyzden.2013;3;-12.107143
21.tyzden.2013;3;-17.136905
22.tyzden.2013;1;-27.351190
23.tyzden.2013;1;-23.434524
24.tyzden.2013;7;-6.880952
25.tyzden.2013;5;-12.279762
26.tyzden.2013;7;-33.142857
27.tyzden.2013;7;-23.291667
28.tyzden.2013;9;-24.654762
29.tyzden.2013;12;-14.029762
30.tyzden.2013;4;-5.845238
31.tyzden.2013;16;-1.952381
32.tyzden.2013;10;-10.535714
33.tyzden.2013;10;-12.148809
34.tyzden.2013;5;-14.339286
35.tyzden.2013;3;-18.047619
36.tyzden.2013;7;-5.452381
37.tyzden.2013;8;-1.017857
38.tyzden.2013;12;-3.238095
39.tyzden.2013;5;-0.434524
40.tyzden.2013;6;-14.363095
41.tyzden.2013;10;-15.595238
42.tyzden.2013;6;-15.398809
43.tyzden.2013;14;3.476191
44.tyzden.2013;3;-10.392857
45.tyzden.2013;6;-17.351190
46.tyzden.2013;9;-19.333333
47.tyzden.2013;4;-4.613095
48.tyzden.2013;10;1.613095
49.tyzden.2013;12;-9.553572
50.tyzden.2013;9;-8.321428
51.tyzden.2013;11;-6.916667
52.tyzden.2013;8;1.574074
