Week;Usmrteni;Dst
1.tyzden.2014;6;-13.266667
2.tyzden.2014;11;-5.785714
3.tyzden.2014;12;-2.053572
4.tyzden.2014;7;-4.583333
5.tyzden.2014;8;-2.595238
6.tyzden.2014;7;-9.184524
7.tyzden.2014;14;-6.720238
8.tyzden.2014;5;-38.744048
9.tyzden.2014;2;-27.571429
10.tyzden.2014;2;-8.416667
11.tyzden.2014;7;-7.791667
12.tyzden.2014;10;-1.583333
13.tyzden.2014;2;-5.130952
14.tyzden.2014;3;-1.482143
15.tyzden.2014;3;-22.011905
16.tyzden.2014;3;-8.505952
17.tyzden.2014;16;-12.458333
18.tyzden.2014;3;-14.369048
19.tyzden.2014;3;-15.601190
20.tyzden.2014;6;0.303571
21.tyzden.2014;7;-2.946429
22.tyzden.2014;6;1.357143
23.tyzden.2014;17;-0.321429
24.tyzden.2014;6;-2.648810
25.tyzden.2014;3;-7.392857
26.tyzden.2014;7;3.363095
27.tyzden.2014;4;5.732143
28.tyzden.2014;6;-1.553571
29.tyzden.2014;7;5.452381
30.tyzden.2014;3;1.464286
31.tyzden.2014;2;0.553571
32.tyzden.2014;13;-9.154762
33.tyzden.2014;7;0.041667
34.tyzden.2014;17;-4.684524
35.tyzden.2014;7;-21.041666
36.tyzden.2014;11;-15.297619
37.tyzden.2014;6;-15.458333
38.tyzden.2014;8;-11.178572
39.tyzden.2014;8;-23.154762
40.tyzden.2014;5;-14.327381
41.tyzden.2014;6;-14.702381
42.tyzden.2014;3;-16.863095
43.tyzden.2014;6;-29.285714
44.tyzden.2014;5;-18.494048
45.tyzden.2014;2;-13.333333
46.tyzden.2014;12;-24.916667
47.tyzden.2014;4;-26.273809
48.tyzden.2014;10;-10.708333
49.tyzden.2014;5;-14.839286
50.tyzden.2014;5;-25.148810
51.tyzden.2014;4;-21.255952
52.tyzden.2014;11;-28.000000
