Week;Usmrteni;
1.tyzden.2013;5;
2.tyzden.2013;3;
3.tyzden.2013;2;
4.tyzden.2013;6;
5.tyzden.2013;4;
6.tyzden.2013;4;
7.tyzden.2013;3;
8.tyzden.2013;1;
9.tyzden.2013;10;
10.tyzden.2013;6;
11.tyzden.2013;3;
12.tyzden.2013;8;
13.tyzden.2013;6;
14.tyzden.2013;1;
15.tyzden.2013;5;
16.tyzden.2013;4;
17.tyzden.2013;2;
18.tyzden.2013;6;
19.tyzden.2013;2;
20.tyzden.2013;3;
21.tyzden.2013;3;
22.tyzden.2013;1;
23.tyzden.2013;1;
24.tyzden.2013;7;
25.tyzden.2013;5;
26.tyzden.2013;7;
27.tyzden.2013;7;
28.tyzden.2013;9;
29.tyzden.2013;12;
30.tyzden.2013;4;
31.tyzden.2013;16;
32.tyzden.2013;10;
33.tyzden.2013;10;
34.tyzden.2013;5;
35.tyzden.2013;3;
36.tyzden.2013;7;
37.tyzden.2013;8;
38.tyzden.2013;12;
39.tyzden.2013;5;
40.tyzden.2013;6;
41.tyzden.2013;10;
42.tyzden.2013;6;
43.tyzden.2013;14;
44.tyzden.2013;3;
45.tyzden.2013;6;
46.tyzden.2013;9;
47.tyzden.2013;4;
48.tyzden.2013;10;
49.tyzden.2013;12;
50.tyzden.2013;9;
51.tyzden.2013;11;
52.tyzden.2013;8;
