Week;Zraneni;Speed
1.tyzden.2014;15;495.616667
2.tyzden.2014;15;400.851190
3.tyzden.2014;11;469.035714
4.tyzden.2014;8;382.035714
5.tyzden.2014;15;364.041667
6.tyzden.2014;21;384.529762
7.tyzden.2014;19;405.892857
8.tyzden.2014;24;463.779762
9.tyzden.2014;11;405.535714
10.tyzden.2014;20;394.232143
11.tyzden.2014;11;354.119048
12.tyzden.2014;13;356.285714
13.tyzden.2014;12;416.898810
14.tyzden.2014;15;408.053571
15.tyzden.2014;23;384.261905
16.tyzden.2014;11;417.892857
17.tyzden.2014;10;435.434524
18.tyzden.2014;14;321.345238
19.tyzden.2014;11;363.035714
20.tyzden.2014;17;351.940476
21.tyzden.2014;19;380.690476
22.tyzden.2014;13;327.976190
23.tyzden.2014;20;361.708333
24.tyzden.2014;16;435.071429
25.tyzden.2014;13;406.797619
26.tyzden.2014;11;332.470238
27.tyzden.2014;16;312.702381
28.tyzden.2014;25;343.744048
29.tyzden.2014;22;356.934524
30.tyzden.2014;17;330.982143
31.tyzden.2014;12;361.797619
32.tyzden.2014;9;394.220238
33.tyzden.2014;16;372.023810
34.tyzden.2014;24;325.089286
35.tyzden.2014;11;345.636905
36.tyzden.2014;17;391.404762
37.tyzden.2014;11;448.761905
38.tyzden.2014;17;435.910714
39.tyzden.2014;17;423.982143
40.tyzden.2014;17;368.410714
41.tyzden.2014;19;350.178572
42.tyzden.2014;16;412.500000
43.tyzden.2014;25;452.089286
44.tyzden.2014;13;412.934524
45.tyzden.2014;19;453.196428
46.tyzden.2014;11;511.029762
47.tyzden.2014;14;408.607143
48.tyzden.2014;21;363.636905
49.tyzden.2014;18;513.380952
50.tyzden.2014;20;519.440476
51.tyzden.2014;18;391.958334
52.tyzden.2014;18;478.075000
