Week;Zraneni;Speed
1.tyzden.2018;12;363.273810
2.tyzden.2018;22;424.380952
3.tyzden.2018;18;393.023810
4.tyzden.2018;15;423.666667
5.tyzden.2018;10;351.255952
6.tyzden.2018;18;371.714286
7.tyzden.2018;15;382.910714
8.tyzden.2018;13;450.791667
9.tyzden.2018;10;386.476190
10.tyzden.2018;15;378.142857
11.tyzden.2018;16;424.988095
12.tyzden.2018;9;426.672619
13.tyzden.2018;16;432.178571
14.tyzden.2018;22;368.214286
15.tyzden.2018;14;452.940476
16.tyzden.2018;30;388.928571
17.tyzden.2018;12;360.517857
18.tyzden.2018;13;413.059524
19.tyzden.2018;9;536.732143
20.tyzden.2018;19;370.428571
21.tyzden.2018;18;372.166667
22.tyzden.2018;22;482.279762
23.tyzden.2018;27;402.619047
24.tyzden.2018;14;308.827381
25.tyzden.2018;18;432.505952
26.tyzden.2018;18;462.327381
27.tyzden.2018;19;387.476191
28.tyzden.2018;18;391.880952
29.tyzden.2018;26;410.357143
30.tyzden.2018;28;432.470238
31.tyzden.2018;31;352.488095
32.tyzden.2018;23;370.273810
33.tyzden.2018;17;432.017857
34.tyzden.2018;37;464.910714
35.tyzden.2018;15;444.744048
36.tyzden.2018;13;398.029762
37.tyzden.2018;14;498.136905
38.tyzden.2018;17;437.827381
39.tyzden.2018;14;422.672619
40.tyzden.2018;35;412.922619
41.tyzden.2018;19;493.357143
42.tyzden.2018;19;404.839286
43.tyzden.2018;13;351.494048
44.tyzden.2018;21;333.148809
45.tyzden.2018;23;490.994047
46.tyzden.2018;22;414.654762
47.tyzden.2018;23;363.934524
48.tyzden.2018;17;367.720238
49.tyzden.2018;23;472.000000
50.tyzden.2018;22;426.821429
51.tyzden.2018;20;431.458333
52.tyzden.2018;6;423.505952
