Week;Usmrteni;Ap
1.tyzden.2018;0;3.946429
2.tyzden.2018;2;6.375000
3.tyzden.2018;8;5.464286
4.tyzden.2018;4;7.000000
5.tyzden.2018;6;3.571429
6.tyzden.2018;4;4.017857
7.tyzden.2018;4;7.071429
8.tyzden.2018;0;8.285714
9.tyzden.2018;2;7.214286
10.tyzden.2018;8;5.803571
11.tyzden.2018;1;11.875000
12.tyzden.2018;7;9.821429
13.tyzden.2018;5;5.285714
14.tyzden.2018;5;4.357143
15.tyzden.2018;11;9.410714
16.tyzden.2018;3;10.089286
17.tyzden.2018;8;3.982143
18.tyzden.2018;2;9.535714
19.tyzden.2018;8;12.089286
20.tyzden.2018;5;3.892857
21.tyzden.2018;7;3.696429
22.tyzden.2018;10;9.964286
23.tyzden.2018;8;4.232143
24.tyzden.2018;3;3.214286
25.tyzden.2018;4;7.964286
26.tyzden.2018;7;7.321429
27.tyzden.2018;8;5.821429
28.tyzden.2018;5;4.821429
29.tyzden.2018;6;5.785714
30.tyzden.2018;4;5.964286
31.tyzden.2018;9;4.517857
32.tyzden.2018;12;5.375000
33.tyzden.2018;8;8.375000
34.tyzden.2018;8;16.107143
35.tyzden.2018;6;7.750000
36.tyzden.2018;5;5.750000
37.tyzden.2018;2;15.303571
38.tyzden.2018;11;9.035714
39.tyzden.2018;12;6.928571
40.tyzden.2018;10;8.607143
41.tyzden.2018;4;11.714286
42.tyzden.2018;4;3.321429
43.tyzden.2018;5;3.982143
44.tyzden.2018;7;5.035714
45.tyzden.2018;8;12.821429
46.tyzden.2018;7;2.875000
47.tyzden.2018;5;3.357143
48.tyzden.2018;13;4.178571
49.tyzden.2018;7;7.696429
50.tyzden.2018;8;3.875000
51.tyzden.2018;8;4.946429
52.tyzden.2018;4;7.160714
