"Year";"Correlation";"parameter"
2014;0.337403570629264;"Solar wind density"
2014;-0.321305700081633;"R sunspot number"
2014;-0.311054783734148;"Proton flux over 60 MeV"
2014;-0.280038610616839;"Proton flux over 10 MeV"
2014;-0.275749474099161;"Proton flux over 30 MeV"
2014;-0.214987857614139;"Solar index_F10.7"
2014;-0.173834589674184;"Lyman alpha solar index"
2014;0.166013305003718;"Kp index"
2014;-0.119907899249495;"Solar wind speed"
2014;0.117066801704761;"Ap index"
2014;-0.0809781818660184;"Dst index"
2014;-0.0155677522894864;"Solar wind temperature"
