"Year";"Correlation";"parameter"
2015;-0.486018112275243;"Lyman alpha solar index"
2015;-0.462723845439189;"Solar index_F10.7"
2015;-0.181527796812709;"R sunspot number"
2015;0.170901536952789;"Proton flux over 60 MeV"
2015;0.106343265286187;"Proton flux over 30 MeV"
2015;0.0902098933343418;"Dst index"
2015;-0.0858092394837935;"Solar wind density"
2015;-0.0801476270647081;"Kp index"
2015;-0.0486818572032501;"Solar wind speed"
2015;-0.028652995872958;"Solar wind temperature"
2015;-0.018054578896461;"Ap index"
2015;0.0105466601915286;"Proton flux over 10 MeV"
