Date;Sunspot;
1.1.-7.1.2018;6.714286;
8.1.-14.1.2018;10.428571;
15.1.-21.1.2018;9.714286;
22.1.-28.1.2018;0.000000;
29.1.-4.2.2018;4.857143;
5.2.-11.2.2018;21.285714;
12.2.-18.2.2018;13.714286;
19.2.-25.2.2018;0.000000;
26.2.-4.3.2018;9.428571;
5.3.-11.3.2018;0.000000;
12.3.-18.3.2018;4.000000;
19.3.-25.3.2018;0.000000;
26.3.-1.4.2018;5.142857;
2.4.-8.4.2018;0.000000;
9.4.-15.4.2018;9.285714;
16.4.-22.4.2018;14.428571;
23.4.-29.4.2018;13.000000;
30.4.-6.5.2018;6.000000;
7.5.-13.5.2018;14.857143;
14.5.-20.5.2018;0.000000;
21.5.-27.5.2018;25.000000;
28.5.-3.6.2018;20.285714;
4.6.-10.6.2018;3.000000;
11.6.-17.6.2018;11.857143;
18.6.-24.6.2018;37.571429;
25.6.-1.7.2018;6.285714;
2.7.-8.7.2018;0.000000;
9.7.-15.7.2018;5.285714;
16.7.-22.7.2018;1.714286;
23.7.-29.7.2018;0.000000;
30.7.-5.8.2018;3.285714;
6.8.-12.8.2018;0.000000;
13.8.-19.8.2018;10.714286;
20.8.-26.8.2018;21.142857;
27.8.-2.9.2018;3.428571;
3.9.-9.9.2018;4.285714;
10.9.-16.9.2018;6.000000;
17.9.-23.9.2018;1.857143;
24.9.-30.9.2018;2.142857;
1.10.-7.10.2018;7.714286;
8.10.-14.10.2018;9.571429;
15.10.-21.10.2018;4.428571;
22.10.-28.10.2018;0.000000;
29.10.-4.11.2018;0.000000;
5.11.-11.11.2018;4.714286;
12.11.-18.11.2018;13.428571;
19.11.-25.11.2018;5.857143;
26.11.-2.12.2018;1.428571;
3.12.-9.12.2018;8.714286;
10.12.-16.12.2018;5.000000;
17.12.-23.12.2018;0.000000;
24.12.-30.12.2018;0.000000;
