Date;Sunspot;
1.1.-8.1.2017;4.375000;
9.1.-15.1.2017;14.000000;
16.1.-22.1.2017;46.142857;
23.1.-29.1.2017;40.142857;
30.1.-5.2.2017;34.000000;
6.2.-12.2.2017;17.714286;
13.2.-19.2.2017;18.857143;
20.2.-26.2.2017;29.857143;
27.2.-5.3.2017;39.428571;
6.3.-12.3.2017;0.000000;
13.3.-19.3.2017;0.000000;
20.3.-26.3.2017;14.857143;
27.3.-2.4.2017;61.428571;
3.4.-9.4.2017;42.428571;
10.4.-16.4.2017;13.428571;
17.4.-23.4.2017;25.571429;
24.4.-30.4.2017;35.000000;
1.5.-7.5.2017;22.428571;
8.5.-14.5.2017;5.285714;
15.5.-21.5.2017;21.857143;
22.5.-28.5.2017;32.285714;
29.5.-4.6.2017;14.428571;
5.6.-11.6.2017;12.285714;
12.6.-18.6.2017;20.285714;
19.6.-25.6.2017;26.142857;
26.6.-2.7.2017;16.428571;
3.7.-9.7.2017;17.571429;
10.7.-16.7.2017;44.142857;
17.7.-23.7.2017;3.142857;
24.7.-30.7.2017;8.857143;
31.7.-6.8.2017;11.285714;
7.8.-13.8.2017;12.571429;
14.8.-20.8.2017;38.285714;
21.8.-27.8.2017;55.428571;
28.8.-3.9.2017;58.142857;
4.9.-10.9.2017;88.285714;
11.9.-17.9.2017;16.285714;
18.9.-24.9.2017;17.571429;
25.9.-1.10.2017;38.857143;
2.10.-8.10.2017;21.000000;
9.10.-15.10.2017;1.571429;
16.10.-22.10.2017;3.142857;
23.10.-29.10.2017;23.142857;
30.10.-5.11.2017;4.571429;
6.11.-12.11.2017;0.000000;
13.11.-19.11.2017;12.000000;
20.11.-26.11.2017;4.571429;
27.11.-3.12.2017;7.857143;
4.12.-10.12.2017;5.000000;
11.12.-17.12.2017;3.571429;
18.12.-24.12.2017;18.000000;
25.12.-31.12.2017;9.571429;
