Date;Sunspot;
1.1.-10.1.2016;59.800000;
11.1.-17.1.2016;44.714286;
18.1.-24.1.2016;60.571429;
25.1.-31.1.2016;61.571429;
1.2.-7.2.2016;79.714286;
8.2.-14.2.2016;68.571429;
15.2.-21.2.2016;44.428571;
22.2.-28.2.2016;34.428571;
29.2.-6.3.2016;77.142857;
7.3.-13.3.2016;70.142857;
14.3.-20.3.2016;57.142857;
21.3.-27.3.2016;29.571429;
28.3.-3.4.2016;17.000000;
4.4.-10.4.2016;28.000000;
11.4.-17.4.2016;40.714286;
18.4.-24.4.2016;25.857143;
25.4.-1.5.2016;75.142857;
2.5.-8.5.2016;60.285714;
9.5.-15.5.2016;77.571429;
16.5.-22.5.2016;36.857143;
23.5.-29.5.2016;30.000000;
30.5.-5.6.2016;20.285714;
6.6.-12.6.2016;23.428571;
13.6.-19.6.2016;40.000000;
20.6.-26.6.2016;15.285714;
27.6.-3.7.2016;4.428571;
4.7.-10.7.2016;28.285714;
11.7.-17.7.2016;57.285714;
18.7.-24.7.2016;44.571429;
25.7.-31.7.2016;9.428571;
1.8.-7.8.2016;24.285714;
8.8.-14.8.2016;71.428571;
15.8.-21.8.2016;47.142857;
22.8.-28.8.2016;49.857143;
29.8.-4.9.2016;68.857143;
5.9.-11.9.2016;58.285714;
12.9.-18.9.2016;29.428571;
19.9.-25.9.2016;50.285714;
26.9.-2.10.2016;18.428571;
3.10.-9.10.2016;52.000000;
10.10.-16.10.2016;45.857143;
17.10.-23.10.2016;24.428571;
24.10.-30.10.2016;22.714286;
31.10.-6.11.2016;17.714286;
7.11.-13.11.2016;17.571429;
14.11.-20.11.2016;25.428571;
21.11.-27.11.2016;12.857143;
28.11.-4.12.2016;49.571429;
5.12.-11.12.2016;19.000000;
12.12.-18.12.2016;14.714286;
19.12.-25.12.2016;11.857143;
26.12.-31.12.2016;10.166667;
