Date;Sunspot;
1.1.-4.1.2015;108.250000;
5.1.-11.1.2015;102.571429;
12.1.-18.1.2015;74.857143;
19.1.-25.1.2015;56.571429;
26.1.-1.2.2015;132.285714;
2.2.-8.2.2015;88.571429;
9.2.-15.2.2015;66.142857;
16.2.-22.2.2015;60.142857;
23.2.-1.3.2015;45.142857;
2.3.-8.3.2015;33.857143;
9.3.-15.3.2015;47.714286;
16.3.-22.3.2015;43.000000;
23.3.-29.3.2015;95.000000;
30.3.-5.4.2015;44.428571;
6.4.-12.4.2015;54.285714;
13.4.-19.4.2015;114.000000;
20.4.-26.4.2015;103.857143;
27.4.-3.5.2015;32.857143;
4.5.-10.5.2015;132.571429;
11.5.-17.5.2015;140.000000;
18.5.-24.5.2015;72.857143;
25.5.-31.5.2015;34.142857;
1.6.-7.6.2015;74.714286;
8.6.-14.6.2015;96.714286;
15.6.-21.6.2015;67.714286;
22.6.-28.6.2015;34.285714;
29.6.-5.7.2015;72.142857;
6.7.-12.7.2015;101.142857;
13.7.-19.7.2015;48.714286;
20.7.-26.7.2015;34.571429;
27.7.-2.8.2015;63.142857;
3.8.-9.8.2015;90.571429;
10.8.-16.8.2015;55.857143;
17.8.-23.8.2015;58.857143;
24.8.-30.8.2015;58.285714;
31.8.-6.9.2015;35.714286;
7.9.-13.9.2015;63.142857;
14.9.-20.9.2015;69.285714;
21.9.-27.9.2015;120.571429;
28.9.-4.10.2015;84.285714;
5.10.-11.10.2015;25.714286;
12.10.-18.10.2015;59.857143;
19.10.-25.10.2015;87.428571;
26.10.-1.11.2015;81.142857;
2.11.-8.11.2015;88.428571;
9.11.-15.11.2015;58.285714;
16.11.-22.11.2015;47.142857;
23.11.-29.11.2015;57.857143;
30.11.-6.12.2015;43.000000;
7.12.-13.12.2015;74.428571;
14.12.-20.12.2015;56.285714;
21.12.-31.12.2015;56.363636;
