"Year";"Correlation";"parameter"
"2010-2018";0.0685527208454394;"R sunspot number"
"2010-2018";0.0652069703034313;"Solar wind temperature"
"2010-2018";0.0627793154743121;"Polar cap south (Vostok)"
"2010-2018";-0.0615470919161146;"Solar wind density"
"2010-2018";0.0585934957455358;"Solar index_F10.7"
"2010-2018";0.0581456973407093;"Ap index"
"2010-2018";0.0481174539485698;"Solar wind speed"
"2010-2018";0.0422446237876574;"Lyman alpha solar index"
"2010-2018";0.0308283571135364;"Kp index"
"2010-2018";-0.0131938555052885;"Proton flux over 10 MeV"
"2010-2018";-0.011000814711119;"Proton flux over 30 MeV"
"2010-2018";-0.0102674092537469;"Proton flux over 60 MeV"
"2010-2018";0.00580184766915359;"Dst index"
"2010-2018";-0.00264000125223306;"Polar cap north (Thule)"
