"Year";"Correlation";"parameter"
"2012-2014";0.119843805649953;"Dst index"
"2012-2014";-0.10938387600869;"Solar wind density"
"2012-2014";-0.0996933220247711;"Polar cap north (Thule)"
"2012-2014";-0.0820581801409079;"Proton flux over 60 MeV"
"2012-2014";-0.0717759242858531;"Proton flux over 30 MeV"
"2012-2014";-0.0619257490330028;"Lyman alpha solar index"
"2012-2014";0.0585571794287295;"AL index"
"2012-2014";-0.0561707556063068;"Proton flux over 10 MeV"
"2012-2014";-0.0524980183236499;"AE index"
"2012-2014";0.0505333645754657;"Solar wind temperature"
"2012-2014";-0.0455321794268907;"Polar cap south (Vostok)"
"2012-2014";-0.0387868934865198;"AU index"
"2012-2014";-0.0380348557595624;"Kp index"
"2012-2014";0.0362784913833621;"Solar wind speed"
"2012-2014";-0.0306012045703324;"Ap index"
"2012-2014";-0.0272914054967275;"R sunspot number"
"2012-2014";-0.0256323839595219;"Solar index_F10.7"
