"Year";"Correlation";"parameter"
"2011-2016";-0.117311045580224;"Solar wind density"
"2011-2016";0.0928918526194264;"R sunspot number"
"2011-2016";-0.080795368048147;"Ap index"
"2011-2016";0.078899215913076;"Dst index"
"2011-2016";-0.0772772434174299;"Kp index"
"2011-2016";-0.0563674317184612;"Solar wind temperature"
"2011-2016";-0.0401616147417145;"Polar cap north (Thule)"
"2011-2016";-0.0391748237189762;"Proton flux over 10 MeV"
"2011-2016";-0.037962784373286;"Solar wind speed"
"2011-2016";-0.0378218710834396;"Proton flux over 30 MeV"
"2011-2016";-0.0364008796197018;"Proton flux over 60 MeV"
"2011-2016";-0.0286556551877455;"Lyman alpha solar index"
"2011-2016";-0.0274902683567366;"Polar cap south (Vostok)"
"2011-2016";0.0140785832250291;"Solar index_F10.7"
