"Year";"Correlation";"parameter"
"all";-0.291876089341961;"Lyman alpha solar index"
"all";-0.289430435082761;"Solar index_F10.7"
"all";-0.263219653076383;"R sunspot number"
"all";-0.226426480426116;"Kp index"
"all";-0.187807534203703;"Ap index"
"all";-0.1698551599866;"Solar wind density"
"all";-0.0973590802386994;"Solar wind temperature"
"all";0.0733755915329748;"Dst index"
"all";-0.0702144386346915;"Solar wind speed"
"all";-0.065871673500421;"Proton flux over 10 MeV"
"all";-0.0603457424637974;"Proton flux over 30 MeV"
"all";-0.051194924927084;"Proton flux over 60 MeV"
