Week;Nehodovost;Sunspot
1.tyzden.2010;438;12.222222
2.tyzden.2010;367;28.571429
3.tyzden.2010;499;18.714286
4.tyzden.2010;470;20.857143
5.tyzden.2010;404;17.285714
6.tyzden.2010;406;47.285714
7.tyzden.2010;369;28.428571
8.tyzden.2010;412;21.285714
9.tyzden.2010;351;25.285714
10.tyzden.2010;434;18.571429
11.tyzden.2010;402;25.285714
12.tyzden.2010;399;21.285714
13.tyzden.2010;331;27.428571
14.tyzden.2010;354;23.000000
15.tyzden.2010;407;4.142857
16.tyzden.2010;401;2.571429
17.tyzden.2010;398;6.857143
18.tyzden.2010;416;30.000000
19.tyzden.2010;386;0.000000
20.tyzden.2010;436;5.000000
21.tyzden.2010;419;18.000000
22.tyzden.2010;433;22.142857
23.tyzden.2010;444;29.142857
24.tyzden.2010;390;12.714286
25.tyzden.2010;360;15.428571
26.tyzden.2010;443;13.428571
27.tyzden.2010;429;18.714286
28.tyzden.2010;408;24.571429
29.tyzden.2010;411;30.857143
30.tyzden.2010;404;32.000000
31.tyzden.2010;391;34.857143
32.tyzden.2010;408;48.857143
33.tyzden.2010;427;23.571429
34.tyzden.2010;414;11.714286
35.tyzden.2010;378;40.142857
36.tyzden.2010;403;16.285714
37.tyzden.2010;417;34.285714
38.tyzden.2010;434;39.857143
39.tyzden.2010;451;46.571429
40.tyzden.2010;428;10.857143
41.tyzden.2010;464;27.000000
42.tyzden.2010;461;49.571429
43.tyzden.2010;477;47.714286
44.tyzden.2010;363;23.857143
45.tyzden.2010;451;45.714286
46.tyzden.2010;461;51.000000
47.tyzden.2010;490;20.142857
48.tyzden.2010;494;34.571429
49.tyzden.2010;437;32.428571
50.tyzden.2010;474;21.571429
51.tyzden.2010;408;10.428571
52.tyzden.2010;314;24.666667
