Week;Nehodovost;Sunspot
1.tyzden.2014;148;136.000000
2.tyzden.2014;195;135.142857
3.tyzden.2014;216;98.000000
4.tyzden.2014;241;125.000000
5.tyzden.2014;249;93.000000
6.tyzden.2014;200;150.000000
7.tyzden.2014;228;135.571429
8.tyzden.2014;222;133.142857
9.tyzden.2014;196;180.000000
10.tyzden.2014;228;134.857143
11.tyzden.2014;234;115.714286
12.tyzden.2014;253;137.857143
13.tyzden.2014;211;120.142857
14.tyzden.2014;219;125.000000
15.tyzden.2014;250;86.285714
16.tyzden.2014;245;166.428571
17.tyzden.2014;224;87.000000
18.tyzden.2014;256;98.857143
19.tyzden.2014;256;136.285714
20.tyzden.2014;260;147.285714
21.tyzden.2014;310;92.714286
22.tyzden.2014;247;66.142857
23.tyzden.2014;276;97.285714
24.tyzden.2014;268;154.571429
25.tyzden.2014;245;93.857143
26.tyzden.2014;281;67.142857
27.tyzden.2014;248;161.285714
28.tyzden.2014;260;150.285714
29.tyzden.2014;281;25.000000
30.tyzden.2014;263;54.714286
31.tyzden.2014;238;140.285714
32.tyzden.2014;250;106.285714
33.tyzden.2014;246;91.571429
34.tyzden.2014;248;120.571429
35.tyzden.2014;255;86.142857
36.tyzden.2014;220;121.571429
37.tyzden.2014;250;144.714286
38.tyzden.2014;236;95.285714
39.tyzden.2014;247;144.428571
40.tyzden.2014;303;132.857143
41.tyzden.2014;279;52.142857
42.tyzden.2014;304;70.285714
43.tyzden.2014;298;125.428571
44.tyzden.2014;259;95.714286
45.tyzden.2014;253;103.714286
46.tyzden.2014;260;96.857143
47.tyzden.2014;253;78.857143
48.tyzden.2014;234;137.857143
49.tyzden.2014;276;93.285714
50.tyzden.2014;273;107.285714
51.tyzden.2014;323;160.428571
52.tyzden.2014;305;97.200000
