Date;Temperature;
1.1.-9.1.2011;91540.023148;
10.1.-16.1.2011;109855.053571;
17.1.-23.1.2011;73039.380952;
24.1.-30.1.2011;25294.244048;
31.1.-6.2.2011;100872.029762;
7.2.-13.2.2011;61383.970238;
14.2.-20.2.2011;126887.458334;
21.2.-27.2.2011;54002.654762;
28.2.-6.3.2011;129179.535714;
7.3.-13.3.2011;80028.910714;
14.3.-20.3.2011;69265.488095;
21.3.-27.3.2011;83551.202381;
28.3.-3.4.2011;102848.500000;
4.4.-10.4.2011;98992.863095;
11.4.-17.4.2011;89798.029762;
18.4.-24.4.2011;97567.291667;
25.4.-1.5.2011;121459.625000;
2.5.-8.5.2011;83563.404762;
9.5.-15.5.2011;58798.571429;
16.5.-22.5.2011;91083.047619;
23.5.-29.5.2011;154931.809524;
30.5.-5.6.2011;87856.565476;
6.6.-12.6.2011;127996.773809;
13.6.-19.6.2011;95707.898809;
20.6.-26.6.2011;129376.541667;
27.6.-3.7.2011;55808.785714;
4.7.-10.7.2011;74144.077381;
11.7.-17.7.2011;142582.476191;
18.7.-24.7.2011;157926.488095;
25.7.-31.7.2011;134322.690476;
1.8.-7.8.2011;153217.458333;
8.8.-14.8.2011;88556.839286;
15.8.-21.8.2011;79613.232143;
22.8.-28.8.2011;86145.976190;
29.8.-4.9.2011;75410.005952;
5.9.-11.9.2011;110043.232143;
12.9.-18.9.2011;101667.541667;
19.9.-25.9.2011;66739.470238;
26.9.-2.10.2011;116042.755952;
3.10.-9.10.2011;41790.898810;
10.10.-16.10.2011;73410.386905;
17.10.-23.10.2011;56306.470238;
24.10.-30.10.2011;72801.833333;
31.10.-6.11.2011;40720.309524;
7.11.-13.11.2011;81862.404762;
14.11.-20.11.2011;65432.654762;
21.11.-27.11.2011;85682.095238;
28.11.-4.12.2011;89326.529762;
5.12.-11.12.2011;59263.511905;
12.12.-18.12.2011;49119.821428;
19.12.-25.12.2011;72568.369048;
26.12.-31.12.2011;42503.618055;
