Date;Temperature;
1.1.-8.1.2012;65262.328125;
9.1.-15.1.2012;84303.047619;
16.1.-22.1.2012;71159.130952;
23.1.-29.1.2012;113479.684524;
30.1.-5.2.2012;78469.166667;
6.2.-12.2.2012;81298.625000;
13.2.-19.2.2012;54444.583333;
20.2.-26.2.2012;102750.273810;
27.2.-4.3.2012;65026.232143;
5.3.-11.3.2012;156091.750000;
12.3.-18.3.2012;146948.035714;
19.3.-25.3.2012;66217.458333;
26.3.-1.4.2012;62082.535714;
2.4.-8.4.2012;38524.154762;
9.4.-15.4.2012;97326.047619;
16.4.-22.4.2012;60614.119048;
23.4.-29.4.2012;133452.779762;
30.4.-6.5.2012;30152.505952;
7.5.-13.5.2012;131023.559524;
14.5.-20.5.2012;66765.315476;
21.5.-27.5.2012;102891.345238;
28.5.-3.6.2012;60776.071429;
4.6.-10.6.2012;134709.988095;
11.6.-17.6.2012;70518.708333;
18.6.-24.6.2012;86640.238095;
25.6.-1.7.2012;127615.345238;
2.7.-8.7.2012;79351.922619;
9.7.-15.7.2012;78641.517857;
16.7.-22.7.2012;129527.803572;
23.7.-29.7.2012;63946.785714;
30.7.-5.8.2012;71895.303571;
6.8.-12.8.2012;51925.625000;
13.8.-19.8.2012;92471.630952;
20.8.-26.8.2012;122948.976190;
27.8.-2.9.2012;79592.934524;
3.9.-9.9.2012;68146.601190;
10.9.-16.9.2012;64760.875000;
17.9.-23.9.2012;86773.071429;
24.9.-30.9.2012;55966.017857;
1.10.-7.10.2012;43499.672619;
8.10.-14.10.2012;106573.410714;
15.10.-21.10.2012;125716.214286;
22.10.-28.10.2012;45011.803571;
29.10.-4.11.2012;35180.869048;
5.11.-11.11.2012;51908.946429;
12.11.-18.11.2012;84463.541667;
19.11.-25.11.2012;69723.041667;
26.11.-2.12.2012;37521.410714;
3.12.-9.12.2012;45815.880952;
10.12.-16.12.2012;48919.672619;
17.12.-23.12.2012;83263.904762;
24.12.-31.12.2012;42918.750000;
