Week;Nehodovost;Sunspot
1.tyzden.2013;185;132.666667
2.tyzden.2013;254;150.571429
3.tyzden.2013;259;74.142857
4.tyzden.2013;231;56.285714
5.tyzden.2013;271;61.571429
6.tyzden.2013;276;50.428571
7.tyzden.2013;242;50.000000
8.tyzden.2013;226;79.285714
9.tyzden.2013;210;71.000000
10.tyzden.2013;202;81.142857
11.tyzden.2013;263;112.714286
12.tyzden.2013;230;58.857143
13.tyzden.2013;272;56.285714
14.tyzden.2013;160;103.428571
15.tyzden.2013;232;125.000000
16.tyzden.2013;252;90.857143
17.tyzden.2013;253;99.142857
18.tyzden.2013;230;123.857143
19.tyzden.2013;249;123.285714
20.tyzden.2013;243;162.142857
21.tyzden.2013;240;112.285714
22.tyzden.2013;238;71.714286
23.tyzden.2013;241;54.142857
24.tyzden.2013;298;55.000000
25.tyzden.2013;325;124.285714
26.tyzden.2013;242;75.714286
27.tyzden.2013;275;113.285714
28.tyzden.2013;252;80.000000
29.tyzden.2013;274;74.142857
30.tyzden.2013;270;72.000000
31.tyzden.2013;249;99.714286
32.tyzden.2013;296;77.857143
33.tyzden.2013;261;105.142857
34.tyzden.2013;256;116.285714
35.tyzden.2013;249;60.142857
36.tyzden.2013;278;59.428571
37.tyzden.2013;262;31.142857
38.tyzden.2013;281;64.142857
39.tyzden.2013;264;60.571429
40.tyzden.2013;242;58.857143
41.tyzden.2013;269;108.714286
42.tyzden.2013;278;131.428571
43.tyzden.2013;277;133.142857
44.tyzden.2013;236;129.000000
45.tyzden.2013;276;129.714286
46.tyzden.2013;268;159.142857
47.tyzden.2013;308;87.857143
48.tyzden.2013;258;81.857143
49.tyzden.2013;311;108.285714
50.tyzden.2013;247;152.857143
51.tyzden.2013;303;130.285714
52.tyzden.2013;280;109.444444
