Week;Nehodovost;Sunspot
1.tyzden.2012;233;106.000000
2.tyzden.2012;256;86.000000
3.tyzden.2012;292;121.285714
4.tyzden.2012;250;70.142857
5.tyzden.2012;199;55.285714
6.tyzden.2012;208;36.714286
7.tyzden.2012;309;57.000000
8.tyzden.2012;225;53.714286
9.tyzden.2012;207;43.285714
10.tyzden.2012;201;108.000000
11.tyzden.2012;209;88.571429
12.tyzden.2012;235;80.142857
13.tyzden.2012;198;87.714286
14.tyzden.2012;215;53.714286
15.tyzden.2012;201;44.714286
16.tyzden.2012;225;125.142857
17.tyzden.2012;294;120.428571
18.tyzden.2012;269;93.285714
19.tyzden.2012;257;95.428571
20.tyzden.2012;248;116.428571
21.tyzden.2012;258;87.142857
22.tyzden.2012;250;112.285714
23.tyzden.2012;292;130.428571
24.tyzden.2012;280;112.285714
25.tyzden.2012;301;29.428571
26.tyzden.2012;279;77.571429
27.tyzden.2012;275;129.714286
28.tyzden.2012;303;119.285714
29.tyzden.2012;249;53.857143
30.tyzden.2012;253;88.000000
31.tyzden.2012;258;138.000000
32.tyzden.2012;258;119.714286
33.tyzden.2012;274;49.285714
34.tyzden.2012;277;73.857143
35.tyzden.2012;265;114.428571
36.tyzden.2012;294;119.142857
37.tyzden.2012;297;64.857143
38.tyzden.2012;270;69.142857
39.tyzden.2012;270;107.428571
40.tyzden.2012;287;59.857143
41.tyzden.2012;273;75.142857
42.tyzden.2012;337;99.285714
43.tyzden.2012;289;78.428571
44.tyzden.2012;268;52.142857
45.tyzden.2012;290;68.000000
46.tyzden.2012;263;132.428571
47.tyzden.2012;299;95.857143
48.tyzden.2012;251;67.714286
49.tyzden.2012;344;44.142857
50.tyzden.2012;344;59.428571
51.tyzden.2012;342;65.857143
52.tyzden.2012;208;59.375000
