Week;Nehodovost;Sunspot
1.tyzden.2018;178;6.714286
2.tyzden.2018;211;10.428571
3.tyzden.2018;312;9.714286
4.tyzden.2018;220;0.000000
5.tyzden.2018;229;4.857143
6.tyzden.2018;198;21.285714
7.tyzden.2018;234;13.714286
8.tyzden.2018;198;0.000000
9.tyzden.2018;228;9.428571
10.tyzden.2018;235;0.000000
11.tyzden.2018;229;4.000000
12.tyzden.2018;200;0.000000
13.tyzden.2018;228;5.142857
14.tyzden.2018;231;0.000000
15.tyzden.2018;267;9.285714
16.tyzden.2018;268;14.428571
17.tyzden.2018;273;13.000000
18.tyzden.2018;257;6.000000
19.tyzden.2018;248;14.857143
20.tyzden.2018;269;0.000000
21.tyzden.2018;263;25.000000
22.tyzden.2018;281;20.285714
23.tyzden.2018;276;3.000000
24.tyzden.2018;256;11.857143
25.tyzden.2018;287;37.571429
26.tyzden.2018;263;6.285714
27.tyzden.2018;306;0.000000
28.tyzden.2018;262;5.285714
29.tyzden.2018;283;1.714286
30.tyzden.2018;277;0.000000
31.tyzden.2018;289;3.285714
32.tyzden.2018;291;0.000000
33.tyzden.2018;261;10.714286
34.tyzden.2018;299;21.142857
35.tyzden.2018;253;3.428571
36.tyzden.2018;275;4.285714
37.tyzden.2018;301;6.000000
38.tyzden.2018;291;1.857143
39.tyzden.2018;271;2.142857
40.tyzden.2018;261;7.714286
41.tyzden.2018;298;9.571429
42.tyzden.2018;298;4.428571
43.tyzden.2018;288;0.000000
44.tyzden.2018;250;0.000000
45.tyzden.2018;254;4.714286
46.tyzden.2018;244;13.428571
47.tyzden.2018;286;5.857143
48.tyzden.2018;285;1.428571
49.tyzden.2018;282;8.714286
50.tyzden.2018;329;5.000000
51.tyzden.2018;344;0.000000
52.tyzden.2018;168;0.000000
