"Year";"Correlation";"parameter"
"2016-2018";0.171422728383303;"Proton flux over 30 MeV"
"2016-2018";0.168064919266639;"Proton flux over 60 MeV"
"2016-2018";0.166530646500026;"Proton flux over 10 MeV"
"2016-2018";0.16232680601097;"Ap index"
"2016-2018";0.153729182941423;"Polar cap north (Thule)"
"2016-2018";0.14400462180501;"Kp index"
"2016-2018";0.127584973464937;"Polar cap south (Vostok)"
"2016-2018";0.0985710277179259;"Solar wind speed"
"2016-2018";0.0982757596813096;"Solar wind temperature"
"2016-2018";-0.0839251135442565;"Dst index"
"2016-2018";0.0539363809024313;"Solar index_F10.7"
"2016-2018";-0.0348944740387809;"Lyman alpha solar index"
"2016-2018";-0.0292457458845692;"Solar wind density"
"2016-2018";0.020565037404049;"R sunspot number"
