"Year";"Correlation";"parameter"
"2010-2016";-0.243189000658441;"Lyman alpha solar index"
"2010-2016";-0.190191033677587;"Solar index_F10.7"
"2010-2016";-0.15742744503682;"Solar wind density"
"2010-2016";-0.155055567339553;"Kp index"
"2010-2016";-0.143356516973565;"Ap index"
"2010-2016";-0.119047971891569;"R sunspot number"
"2010-2016";-0.0890592695791644;"Polar cap south (Vostok)"
"2010-2016";-0.0889895480692373;"AE index"
"2010-2016";0.0881373370236459;"AL index"
"2010-2016";0.0830547741649846;"Dst index"
"2010-2016";-0.0821701158166963;"Solar wind temperature"
"2010-2016";-0.0811321614655385;"AU index"
"2010-2016";-0.0709393411820224;"Polar cap north (Thule)"
"2010-2016";-0.0496789635481552;"Proton flux over 10 MeV"
"2010-2016";-0.0463725281477139;"Proton flux over 30 MeV"
"2010-2016";-0.0426290884773429;"Solar wind speed"
"2010-2016";-0.0413126586572179;"Proton flux over 60 MeV"
