"Year";"Correlation";"parameter"
"2010-2015";-0.329499726576368;"Lyman alpha solar index"
"2010-2015";-0.278203227337872;"Solar index_F10.7"
"2010-2015";-0.190545113923984;"R sunspot number"
"2010-2015";-0.13750538407781;"Kp index"
"2010-2015";-0.126487242105332;"Ap index"
"2010-2015";-0.125198019384764;"Solar wind density"
"2010-2015";0.0873813241136741;"Dst index"
"2010-2015";-0.0704192845891065;"Polar cap south (Vostok)"
"2010-2015";-0.0652863201106687;"Polar cap north (Thule)"
"2010-2015";-0.0603854852077995;"Proton flux over 10 MeV"
"2010-2015";-0.0603765442885512;"Solar wind temperature"
"2010-2015";-0.0561323513162145;"Proton flux over 30 MeV"
"2010-2015";-0.0497156444903813;"Proton flux over 60 MeV"
"2010-2015";-0.0194896507600118;"Solar wind speed"
