Week;Nehodovost;
1.tyzden.2011;352;
2.tyzden.2011;343;
3.tyzden.2011;369;
4.tyzden.2011;367;
5.tyzden.2011;241;
6.tyzden.2011;291;
7.tyzden.2011;200;
8.tyzden.2011;189;
9.tyzden.2011;253;
10.tyzden.2011;219;
11.tyzden.2011;272;
12.tyzden.2011;249;
13.tyzden.2011;274;
14.tyzden.2011;232;
15.tyzden.2011;249;
16.tyzden.2011;298;
17.tyzden.2011;238;
18.tyzden.2011;267;
19.tyzden.2011;317;
20.tyzden.2011;300;
21.tyzden.2011;307;
22.tyzden.2011;291;
23.tyzden.2011;311;
24.tyzden.2011;289;
25.tyzden.2011;316;
26.tyzden.2011;311;
27.tyzden.2011;260;
28.tyzden.2011;292;
29.tyzden.2011;300;
30.tyzden.2011;262;
31.tyzden.2011;237;
32.tyzden.2011;283;
33.tyzden.2011;322;
34.tyzden.2011;305;
35.tyzden.2011;243;
36.tyzden.2011;289;
37.tyzden.2011;322;
38.tyzden.2011;255;
39.tyzden.2011;333;
40.tyzden.2011;333;
41.tyzden.2011;303;
42.tyzden.2011;330;
43.tyzden.2011;299;
44.tyzden.2011;251;
45.tyzden.2011;239;
46.tyzden.2011;276;
47.tyzden.2011;225;
48.tyzden.2011;296;
49.tyzden.2011;307;
50.tyzden.2011;340;
51.tyzden.2011;347;
52.tyzden.2011;194;
