Date;Density;
1.1.-4.1.2015;7.843750;
5.1.-11.1.2015;6.016071;
12.1.-18.1.2015;5.140476;
19.1.-25.1.2015;9.785119;
26.1.-1.2.2015;10.145238;
2.2.-8.2.2015;4.752381;
9.2.-15.2.2015;5.895833;
16.2.-22.2.2015;8.556548;
23.2.-1.3.2015;10.035119;
2.3.-8.3.2015;5.698214;
9.3.-15.3.2015;8.860714;
16.3.-22.3.2015;8.352381;
23.3.-29.3.2015;6.630952;
30.3.-5.4.2015;7.410119;
6.4.-12.4.2015;8.554167;
13.4.-19.4.2015;10.413095;
20.4.-26.4.2015;6.744643;
27.4.-3.5.2015;7.106548;
4.5.-10.5.2015;8.360714;
11.5.-17.5.2015;7.066071;
18.5.-24.5.2015;4.635119;
25.5.-31.5.2015;8.333333;
1.6.-7.6.2015;9.735714;
8.6.-14.6.2015;5.232738;
15.6.-21.6.2015;4.937500;
22.6.-28.6.2015;4.989881;
29.6.-5.7.2015;7.612500;
6.7.-12.7.2015;4.990476;
13.7.-19.7.2015;3.566667;
20.7.-26.7.2015;8.517262;
27.7.-2.8.2015;5.947619;
3.8.-9.8.2015;4.576786;
10.8.-16.8.2015;6.685714;
17.8.-23.8.2015;4.907143;
24.8.-30.8.2015;8.028571;
31.8.-6.9.2015;5.957143;
7.9.-13.9.2015;9.337500;
14.9.-20.9.2015;5.663690;
21.9.-27.9.2015;4.270833;
28.9.-4.10.2015;7.012500;
5.10.-11.10.2015;5.054167;
12.10.-18.10.2015;7.076190;
19.10.-25.10.2015;7.889286;
26.10.-1.11.2015;7.020238;
2.11.-8.11.2015;8.753571;
9.11.-15.11.2015;4.763691;
16.11.-22.11.2015;8.089881;
23.11.-29.11.2015;12.613095;
30.11.-6.12.2015;5.552976;
7.12.-13.12.2015;3.705357;
14.12.-20.12.2015;9.941071;
21.12.-31.12.2015;7.171970;
