Date;Density;
1.1.-5.1.2014;4.125000;
6.1.-12.1.2014;4.395238;
13.1.-19.1.2014;3.235119;
20.1.-26.1.2014;5.497619;
27.1.-2.2.2014;4.263095;
3.2.-9.2.2014;6.301190;
10.2.-16.2.2014;6.947024;
17.2.-23.2.2014;4.470238;
24.2.-2.3.2014;5.548214;
3.3.-9.3.2014;3.789881;
10.3.-16.3.2014;5.654762;
17.3.-23.3.2014;6.980357;
24.3.-30.3.2014;4.038690;
31.3.-6.4.2014;5.464286;
7.4.-13.4.2014;4.877976;
14.4.-20.4.2014;6.174405;
21.4.-27.4.2014;3.258334;
28.4.-4.5.2014;9.391072;
5.5.-11.5.2014;6.314286;
12.5.-18.5.2014;5.800000;
19.5.-25.5.2014;5.258929;
26.5.-1.6.2014;7.738691;
2.6.-8.6.2014;9.915476;
9.6.-15.6.2014;3.751191;
16.6.-22.6.2014;4.895238;
23.6.-29.6.2014;7.319643;
30.6.-6.7.2014;8.440476;
7.7.-13.7.2014;6.119643;
14.7.-20.7.2014;5.569643;
21.7.-27.7.2014;7.837500;
28.7.-3.8.2014;6.808333;
4.8.-10.8.2014;4.891071;
11.8.-17.8.2014;6.973214;
18.8.-24.8.2014;8.622024;
25.8.-31.8.2014;10.090476;
1.9.-7.9.2014;6.207738;
8.9.-14.9.2014;5.825000;
15.9.-21.9.2014;5.928571;
22.9.-28.9.2014;5.729167;
29.9.-5.10.2014;7.333333;
6.10.-12.10.2014;9.777976;
13.10.-19.10.2014;8.920833;
20.10.-26.10.2014;4.734524;
27.10.-2.11.2014;5.021429;
3.11.-9.11.2014;7.064881;
10.11.-16.11.2014;3.970833;
17.11.-23.11.2014;4.721429;
24.11.-30.11.2014;7.288690;
1.12.-7.12.2014;7.622024;
8.12.-14.12.2014;4.978571;
15.12.-21.12.2014;5.442262;
22.12.-31.12.2014;6.622917;
