Date;Density;
1.1.-6.1.2013;7.003472;
7.1.-13.1.2013;6.869643;
14.1.-20.1.2013;6.948809;
21.1.-27.1.2013;6.513095;
28.1.-3.2.2013;5.822024;
4.2.-10.2.2013;7.429167;
11.2.-17.2.2013;7.810119;
18.2.-24.2.2013;6.448810;
25.2.-3.3.2013;9.244643;
4.3.-10.3.2013;8.269643;
11.3.-17.3.2013;9.155357;
18.3.-24.3.2013;4.242262;
25.3.-31.3.2013;5.570833;
1.4.-7.4.2013;4.789286;
8.4.-14.4.2013;5.352976;
15.4.-21.4.2013;5.490476;
22.4.-28.4.2013;10.347619;
29.4.-5.5.2013;3.970833;
6.5.-12.5.2013;3.552976;
13.5.-19.5.2013;7.435714;
20.5.-26.5.2013;5.311905;
27.5.-2.6.2013;3.777381;
3.6.-9.6.2013;4.992262;
10.6.-16.6.2013;5.324405;
17.6.-23.6.2013;7.247024;
24.6.-30.6.2013;4.552381;
1.7.-7.7.2013;5.283334;
8.7.-14.7.2013;5.327976;
15.7.-21.7.2013;5.501786;
22.7.-28.7.2013;5.087500;
29.7.-4.8.2013;5.919048;
5.8.-11.8.2013;3.319048;
12.8.-18.8.2013;5.179762;
19.8.-25.8.2013;4.135714;
26.8.-1.9.2013;5.244643;
2.9.-8.9.2013;3.594048;
9.9.-15.9.2013;4.798214;
16.9.-22.9.2013;4.045238;
23.9.-29.9.2013;5.594048;
30.9.-6.10.2013;5.595833;
7.10.-13.10.2013;5.280952;
14.10.-20.10.2013;3.305952;
21.10.-27.10.2013;6.054167;
28.10.-3.11.2013;6.594643;
4.11.-10.11.2013;4.791071;
11.11.-17.11.2013;4.283333;
18.11.-24.11.2013;3.238095;
25.11.-1.12.2013;6.470833;
2.12.-8.12.2013;4.783928;
9.12.-15.12.2013;6.652381;
16.12.-22.12.2013;3.139286;
23.12.-31.12.2013;7.170370;
