"Year";"Correlation";"Traffic"
"2012-2017";-0.0655977196430485;"Zranení"
"2012-2017";-0.0544695419450072;"Celková dopravná nehodovosť"
"2012-2017";-0.0181624827012843;"Usmrtení"
