Date;Speed;
1.1.-8.1.2017;558.713542;
9.1.-15.1.2017;452.273809;
16.1.-22.1.2017;464.244048;
23.1.-29.1.2017;442.571428;
30.1.-5.2.2017;598.178571;
6.2.-12.2.2017;444.291667;
13.2.-19.2.2017;409.833333;
20.2.-26.2.2017;477.166667;
27.2.-5.3.2017;559.720238;
6.3.-12.3.2017;498.077381;
13.3.-19.3.2017;340.553571;
20.3.-26.3.2017;497.333333;
27.3.-2.4.2017;602.375000;
3.4.-9.4.2017;450.994048;
10.4.-16.4.2017;394.565476;
17.4.-23.4.2017;508.541667;
24.4.-30.4.2017;485.196429;
1.5.-7.5.2017;369.607143;
8.5.-14.5.2017;357.166667;
15.5.-21.5.2017;519.333333;
22.5.-28.5.2017;411.113095;
29.5.-4.6.2017;399.601190;
5.6.-11.6.2017;327.797619;
12.6.-18.6.2017;476.672619;
19.6.-25.6.2017;380.928572;
26.6.-2.7.2017;425.660714;
3.7.-9.7.2017;372.851191;
10.7.-16.7.2017;450.589286;
17.7.-23.7.2017;523.125000;
24.7.-30.7.2017;492.815476;
31.7.-6.8.2017;475.410714;
7.8.-13.8.2017;464.470238;
14.8.-20.8.2017;525.565476;
21.8.-27.8.2017;433.815476;
28.8.-3.9.2017;458.226190;
4.9.-10.9.2017;544.577381;
11.9.-17.9.2017;567.946428;
18.9.-24.9.2017;437.267857;
25.9.-1.10.2017;483.279762;
2.10.-8.10.2017;401.898810;
9.10.-15.10.2017;493.613095;
16.10.-22.10.2017;428.297619;
23.10.-29.10.2017;444.422619;
30.10.-5.11.2017;342.113095;
6.11.-12.11.2017;506.547619;
13.11.-19.11.2017;405.982143;
20.11.-26.11.2017;413.904762;
27.11.-3.12.2017;410.821429;
4.12.-10.12.2017;430.821428;
11.12.-17.12.2017;418.315476;
18.12.-24.12.2017;439.797619;
25.12.-31.12.2017;406.958333;
