Date;Kp;
1.1.-4.1.2015;22.343750;
5.1.-11.1.2015;24.857143;
12.1.-18.1.2015;14.571429;
19.1.-25.1.2015;15.607143;
26.1.-1.2.2015;23.500000;
2.2.-8.2.2015;24.160714;
9.2.-15.2.2015;11.232143;
16.2.-22.2.2015;20.910714;
23.2.-1.3.2015;22.285714;
2.3.-8.3.2015;25.107143;
9.3.-15.3.2015;14.678571;
16.3.-22.3.2015;36.964286;
23.3.-29.3.2015;23.250000;
30.3.-5.4.2015;19.767857;
6.4.-12.4.2015;19.214286;
13.4.-19.4.2015;28.589286;
20.4.-26.4.2015;14.928571;
27.4.-3.5.2015;12.964286;
4.5.-10.5.2015;18.696429;
11.5.-17.5.2015;23.982143;
18.5.-24.5.2015;12.642857;
25.5.-31.5.2015;12.053571;
1.6.-7.6.2015;8.071429;
8.6.-14.6.2015;26.500000;
15.6.-21.6.2015;16.250000;
22.6.-28.6.2015;32.500000;
29.6.-5.7.2015;14.321429;
6.7.-12.7.2015;18.250000;
13.7.-19.7.2015;14.964286;
20.7.-26.7.2015;17.392857;
27.7.-2.8.2015;20.625000;
3.8.-9.8.2015;20.428571;
10.8.-16.8.2015;24.071429;
17.8.-23.8.2015;26.017857;
24.8.-30.8.2015;29.428571;
31.8.-6.9.2015;20.428571;
7.9.-13.9.2015;36.053571;
14.9.-20.9.2015;28.357143;
21.9.-27.9.2015;16.625000;
28.9.-4.10.2015;17.642857;
5.10.-11.10.2015;36.410714;
12.10.-18.10.2015;27.982143;
19.10.-25.10.2015;16.375000;
26.10.-1.11.2015;10.535714;
2.11.-8.11.2015;29.928571;
9.11.-15.11.2015;27.428571;
16.11.-22.11.2015;15.178571;
23.11.-29.11.2015;7.910714;
30.11.-6.12.2015;22.446429;
7.12.-13.12.2015;26.392857;
14.12.-20.12.2015;23.803571;
21.12.-31.12.2015;23.340909;
