Date;Kp;
1.1.-9.1.2010;2.708333;
10.1.-16.1.2010;10.267857;
17.1.-23.1.2010;8.892857;
24.1.-30.1.2010;7.196429;
31.1.-6.2.2010;13.410714;
7.2.-13.2.2010;9.803571;
14.2.-20.2.2010;12.928571;
21.2.-27.2.2010;6.089286;
28.2.-6.3.2010;11.482143;
7.3.-13.3.2010;13.000000;
14.3.-20.3.2010;11.464286;
21.3.-27.3.2010;6.321429;
28.3.-3.4.2010;18.178571;
4.4.-10.4.2010;28.892857;
11.4.-17.4.2010;14.500000;
18.4.-24.4.2010;12.660714;
25.4.-1.5.2010;7.482143;
2.5.-8.5.2010;24.321429;
9.5.-15.5.2010;8.410714;
16.5.-22.5.2010;12.964286;
23.5.-29.5.2010;13.535714;
30.5.-5.6.2010;23.214286;
6.6.-12.6.2010;9.642857;
13.6.-19.6.2010;16.178571;
20.6.-26.6.2010;12.732143;
27.6.-3.7.2010;22.178571;
4.7.-10.7.2010;6.214286;
11.7.-17.7.2010;9.571429;
18.7.-24.7.2010;10.142857;
25.7.-31.7.2010;18.785714;
1.8.-7.8.2010;19.982143;
8.8.-14.8.2010;12.017857;
15.8.-21.8.2010;9.000000;
22.8.-28.8.2010;20.928571;
29.8.-4.9.2010;6.464286;
5.9.-11.9.2010;13.196429;
12.9.-18.9.2010;12.071429;
19.9.-25.9.2010;13.357143;
26.9.-2.10.2010;9.839286;
3.10.-9.10.2010;8.857143;
10.10.-16.10.2010;14.803571;
17.10.-23.10.2010;17.321429;
24.10.-30.10.2010;14.732143;
31.10.-6.11.2010;7.410714;
7.11.-13.11.2010;14.803571;
14.11.-20.11.2010;13.000000;
21.11.-27.11.2010;12.803571;
28.11.-4.12.2010;7.696429;
5.12.-11.12.2010;6.178571;
12.12.-18.12.2010;16.803571;
19.12.-25.12.2010;8.357143;
26.12.-31.12.2010;10.208333;
