Date;Kp;
1.1.-7.1.2018;9.107143;
8.1.-14.1.2018;14.035714;
15.1.-21.1.2018;12.642857;
22.1.-28.1.2018;15.839286;
29.1.-4.2.2018;8.375000;
5.2.-11.2.2018;9.696429;
12.2.-18.2.2018;15.017857;
19.2.-25.2.2018;16.714286;
26.2.-4.3.2018;15.303571;
5.3.-11.3.2018;12.767857;
12.3.-18.3.2018;20.714286;
19.3.-25.3.2018;20.392857;
26.3.-1.4.2018;12.803571;
2.4.-8.4.2018;10.714286;
9.4.-15.4.2018;20.035714;
16.4.-22.4.2018;15.803571;
23.4.-29.4.2018;9.767857;
30.4.-6.5.2018;15.267857;
7.5.-13.5.2018;25.160714;
14.5.-20.5.2018;9.267857;
21.5.-27.5.2018;8.535714;
28.5.-3.6.2018;19.071429;
4.6.-10.6.2018;10.196429;
11.6.-17.6.2018;7.500000;
18.6.-24.6.2018;16.714286;
25.6.-1.7.2018;14.464286;
2.7.-8.7.2018;12.071429;
9.7.-15.7.2018;11.750000;
16.7.-22.7.2018;13.928571;
23.7.-29.7.2018;12.982143;
30.7.-5.8.2018;11.267857;
6.8.-12.8.2018;12.982143;
13.8.-19.8.2018;18.392857;
20.8.-26.8.2018;21.910714;
27.8.-2.9.2018;15.017857;
3.9.-9.9.2018;13.892857;
10.9.-16.9.2018;25.250000;
17.9.-23.9.2018;17.500000;
24.9.-30.9.2018;17.053571;
1.10.-7.10.2018;16.071429;
8.10.-14.10.2018;23.053571;
15.10.-21.10.2018;7.910714;
22.10.-28.10.2018;9.875000;
29.10.-4.11.2018;9.785714;
5.11.-11.11.2018;23.125000;
12.11.-18.11.2018;6.517857;
19.11.-25.11.2018;7.678571;
26.11.-2.12.2018;9.660714;
3.12.-9.12.2018;18.267857;
10.12.-16.12.2018;8.785714;
17.12.-23.12.2018;11.875000;
24.12.-30.12.2018;15.000000;
