Date;Kp;
1.1.-9.1.2011;14.708333;
10.1.-16.1.2011;16.785714;
17.1.-23.1.2011;11.839286;
24.1.-30.1.2011;9.375000;
31.1.-6.2.2011;19.678571;
7.2.-13.2.2011;8.982143;
14.2.-20.2.2011;16.928571;
21.2.-27.2.2011;7.339286;
28.2.-6.3.2011;23.303571;
7.3.-13.3.2011;23.321429;
14.3.-20.3.2011;7.196429;
21.3.-27.3.2011;11.035714;
28.3.-3.4.2011;16.625000;
4.4.-10.4.2011;16.910714;
11.4.-17.4.2011;15.892857;
18.4.-24.4.2011;14.625000;
25.4.-1.5.2011;15.875000;
2.5.-8.5.2011;16.357143;
9.5.-15.5.2011;11.946429;
16.5.-22.5.2011;13.500000;
23.5.-29.5.2011;21.821429;
30.5.-5.6.2011;20.964286;
6.6.-12.6.2011;18.982143;
13.6.-19.6.2011;14.803571;
20.6.-26.6.2011;22.017857;
27.6.-3.7.2011;11.946429;
4.7.-10.7.2011;19.821429;
11.7.-17.7.2011;15.500000;
18.7.-24.7.2011;21.589286;
25.7.-31.7.2011;15.250000;
1.8.-7.8.2011;17.053571;
8.8.-14.8.2011;14.267857;
15.8.-21.8.2011;12.142857;
22.8.-28.8.2011;13.767857;
29.8.-4.9.2011;12.571429;
5.9.-11.9.2011;21.339286;
12.9.-18.9.2011;22.250000;
19.9.-25.9.2011;9.142857;
26.9.-2.10.2011;29.785714;
3.10.-9.10.2011;17.696429;
10.10.-16.10.2011;10.321429;
17.10.-23.10.2011;8.875000;
24.10.-30.10.2011;13.142857;
31.10.-6.11.2011;14.946429;
7.11.-13.11.2011;8.000000;
14.11.-20.11.2011;5.946429;
21.11.-27.11.2011;14.000000;
28.11.-4.12.2011;16.446429;
5.12.-11.12.2011;8.553571;
12.12.-18.12.2011;5.696429;
19.12.-25.12.2011;9.785714;
26.12.-31.12.2011;10.312500;
