Date;Kp;
1.1.-8.1.2017;26.546875;
9.1.-15.1.2017;14.696429;
16.1.-22.1.2017;17.946429;
23.1.-29.1.2017;16.767857;
30.1.-5.2.2017;29.946429;
6.2.-12.2.2017;14.928571;
13.2.-19.2.2017;17.339286;
20.2.-26.2.2017;17.589286;
27.2.-5.3.2017;30.714286;
6.3.-12.3.2017;23.410714;
13.3.-19.3.2017;7.535714;
20.3.-26.3.2017;17.303571;
27.3.-2.4.2017;34.035714;
3.4.-9.4.2017;21.267857;
10.4.-16.4.2017;14.196429;
17.4.-23.4.2017;28.839286;
24.4.-30.4.2017;19.017857;
1.5.-7.5.2017;10.982143;
8.5.-14.5.2017;14.250000;
15.5.-21.5.2017;23.071429;
22.5.-28.5.2017;16.125000;
29.5.-4.6.2017;11.642857;
5.6.-11.6.2017;11.303571;
12.6.-18.6.2017;19.607143;
19.6.-25.6.2017;12.517857;
26.6.-2.7.2017;15.678571;
3.7.-9.7.2017;12.553571;
10.7.-16.7.2017;14.857143;
17.7.-23.7.2017;21.696429;
24.7.-30.7.2017;15.696429;
31.7.-6.8.2017;19.357143;
7.8.-13.8.2017;13.767857;
14.8.-20.8.2017;24.553571;
21.8.-27.8.2017;20.660714;
28.8.-3.9.2017;21.482143;
4.9.-10.9.2017;26.571429;
11.9.-17.9.2017;30.982143;
18.9.-24.9.2017;17.803571;
25.9.-1.10.2017;26.482143;
2.10.-8.10.2017;11.625000;
9.10.-15.10.2017;29.089286;
16.10.-22.10.2017;17.035714;
23.10.-29.10.2017;18.750000;
30.10.-5.11.2017;8.767857;
6.11.-12.11.2017;26.214286;
13.11.-19.11.2017;18.446429;
20.11.-26.11.2017;18.928571;
27.11.-3.12.2017;11.964286;
4.12.-10.12.2017;19.375000;
11.12.-17.12.2017;17.142857;
18.12.-24.12.2017;13.678571;
25.12.-31.12.2017;13.625000;
