Week;Usmrteni;Temperature
1.tyzden.2010;9;32214.930555
2.tyzden.2010;6;78969.750000
3.tyzden.2010;8;52563.023810
4.tyzden.2010;5;47339.803571
5.tyzden.2010;6;86450.595238
6.tyzden.2010;4;33617.886905
7.tyzden.2010;9;62968.690476
8.tyzden.2010;6;43178.732143
9.tyzden.2010;0;69815.119048
10.tyzden.2010;2;93505.755952
11.tyzden.2010;7;66140.303572
12.tyzden.2010;9;49015.214286
13.tyzden.2010;5;121704.511905
14.tyzden.2010;3;116358.851190
15.tyzden.2010;4;78993.113095
16.tyzden.2010;4;60965.160714
17.tyzden.2010;10;41690.702381
18.tyzden.2010;4;146568.880952
19.tyzden.2010;5;63989.273810
20.tyzden.2010;3;79587.351190
21.tyzden.2010;3;35800.880952
22.tyzden.2010;5;135238.886905
23.tyzden.2010;6;56945.690476
24.tyzden.2010;9;104792.553572
25.tyzden.2010;3;49187.869048
26.tyzden.2010;9;145190.595238
27.tyzden.2010;10;51974.482143
28.tyzden.2010;10;48132.892857
29.tyzden.2010;8;37655.625000
30.tyzden.2010;4;137442.130952
31.tyzden.2010;3;87985.434524
32.tyzden.2010;6;82051.535714
33.tyzden.2010;5;48241.880952
34.tyzden.2010;19;143903.880952
35.tyzden.2010;6;59189.672619
36.tyzden.2010;9;92851.059524
37.tyzden.2010;5;96092.559524
38.tyzden.2010;10;80874.964286
39.tyzden.2010;7;73669.083333
40.tyzden.2010;5;42904.767857
41.tyzden.2010;10;39375.761905
42.tyzden.2010;7;103896.922619
43.tyzden.2010;12;118301.880952
44.tyzden.2010;5;34202.755952
45.tyzden.2010;9;78922.601190
46.tyzden.2010;11;123828.660714
47.tyzden.2010;16;71788.452381
48.tyzden.2010;5;34928.785714
49.tyzden.2010;8;39925.619048
50.tyzden.2010;2;118487.232143
51.tyzden.2010;8;40509.095238
52.tyzden.2010;1;60600.930556
