Week;Usmrteni;
1.tyzden.2018;0;
2.tyzden.2018;2;
3.tyzden.2018;8;
4.tyzden.2018;4;
5.tyzden.2018;6;
6.tyzden.2018;4;
7.tyzden.2018;4;
8.tyzden.2018;0;
9.tyzden.2018;2;
10.tyzden.2018;8;
11.tyzden.2018;1;
12.tyzden.2018;7;
13.tyzden.2018;5;
14.tyzden.2018;5;
15.tyzden.2018;11;
16.tyzden.2018;3;
17.tyzden.2018;8;
18.tyzden.2018;2;
19.tyzden.2018;8;
20.tyzden.2018;5;
21.tyzden.2018;7;
22.tyzden.2018;10;
23.tyzden.2018;8;
24.tyzden.2018;3;
25.tyzden.2018;4;
26.tyzden.2018;7;
27.tyzden.2018;8;
28.tyzden.2018;5;
29.tyzden.2018;6;
30.tyzden.2018;4;
31.tyzden.2018;9;
32.tyzden.2018;12;
33.tyzden.2018;8;
34.tyzden.2018;8;
35.tyzden.2018;6;
36.tyzden.2018;5;
37.tyzden.2018;2;
38.tyzden.2018;11;
39.tyzden.2018;12;
40.tyzden.2018;10;
41.tyzden.2018;4;
42.tyzden.2018;4;
43.tyzden.2018;5;
44.tyzden.2018;7;
45.tyzden.2018;8;
46.tyzden.2018;7;
47.tyzden.2018;5;
48.tyzden.2018;13;
49.tyzden.2018;7;
50.tyzden.2018;8;
51.tyzden.2018;8;
52.tyzden.2018;4;
