Week;Usmrteni;Ap
31.tyzden.2013;16;5.410714
32.tyzden.2013;10;5.785714
33.tyzden.2013;10;10.607143
34.tyzden.2013;5;9.357143
35.tyzden.2013;3;8.696429
36.tyzden.2013;7;5.142857
37.tyzden.2013;8;5.196429
38.tyzden.2013;12;7.232143
39.tyzden.2013;5;3.285714
40.tyzden.2013;6;10.089286
41.tyzden.2013;10;10.000000
42.tyzden.2013;6;8.339286
43.tyzden.2013;14;2.303571
44.tyzden.2013;3;5.803571
45.tyzden.2013;6;9.000000
46.tyzden.2013;9;7.928571
47.tyzden.2013;4;2.589286
48.tyzden.2013;10;4.017857
49.tyzden.2013;12;7.392857
50.tyzden.2013;9;4.892857
51.tyzden.2013;11;3.571429
52.tyzden.2013;8;2.722222
1.tyzden.2014;6;9.375000
2.tyzden.2014;11;5.500000
3.tyzden.2014;12;3.517857
4.tyzden.2014;7;5.964286
5.tyzden.2014;8;3.357143
6.tyzden.2014;7;9.535714
7.tyzden.2014;14;7.714286
8.tyzden.2014;5;18.678571
9.tyzden.2014;2;7.375000
10.tyzden.2014;2;4.125000
11.tyzden.2014;7;4.500000
12.tyzden.2014;10;4.839286
13.tyzden.2014;2;5.892857
14.tyzden.2014;3;5.339286
15.tyzden.2014;3;8.660714
16.tyzden.2014;3;9.482143
17.tyzden.2014;16;7.589286
18.tyzden.2014;3;6.964286
19.tyzden.2014;3;8.142857
20.tyzden.2014;6;4.089286
21.tyzden.2014;7;5.875000
22.tyzden.2014;6;4.196429
23.tyzden.2014;17;10.982143
24.tyzden.2014;6;4.750000
25.tyzden.2014;3;7.482143
26.tyzden.2014;7;4.517857
27.tyzden.2014;4;3.750000
28.tyzden.2014;6;5.535714
29.tyzden.2014;7;3.964286
30.tyzden.2014;3;4.535714
31.tyzden.2014;2;6.178571
32.tyzden.2014;13;6.857143
33.tyzden.2014;7;5.357143
34.tyzden.2014;17;6.017857
35.tyzden.2014;7;12.571429
36.tyzden.2014;11;8.017857
37.tyzden.2014;6;11.267857
38.tyzden.2014;8;7.285714
39.tyzden.2014;8;12.250000
40.tyzden.2014;5;7.464286
41.tyzden.2014;6;6.928571
42.tyzden.2014;3;9.946429
43.tyzden.2014;6;12.696429
44.tyzden.2014;5;7.785714
