Week;Nehodovost;Ap
1.tyzden.2017;216;13.312500
2.tyzden.2017;252;6.178571
3.tyzden.2017;210;8.214286
4.tyzden.2017;188;8.214286
5.tyzden.2017;242;17.089286
6.tyzden.2017;218;6.214286
7.tyzden.2017;240;8.732143
8.tyzden.2017;203;8.250000
9.tyzden.2017;228;19.553571
10.tyzden.2017;185;12.178571
11.tyzden.2017;217;3.178571
12.tyzden.2017;223;10.017857
13.tyzden.2017;279;23.232143
14.tyzden.2017;226;10.821429
15.tyzden.2017;257;6.232143
16.tyzden.2017;208;21.625000
17.tyzden.2017;244;8.250000
18.tyzden.2017;267;4.660714
19.tyzden.2017;258;5.660714
20.tyzden.2017;276;11.017857
21.tyzden.2017;305;12.035714
22.tyzden.2017;294;5.410714
23.tyzden.2017;266;5.357143
24.tyzden.2017;263;9.732143
25.tyzden.2017;274;5.089286
26.tyzden.2017;343;7.125000
27.tyzden.2017;272;6.660714
28.tyzden.2017;295;10.000000
29.tyzden.2017;287;11.732143
30.tyzden.2017;272;6.803571
31.tyzden.2017;307;10.071429
32.tyzden.2017;268;5.482143
33.tyzden.2017;270;15.000000
34.tyzden.2017;257;10.678571
35.tyzden.2017;261;12.464286
36.tyzden.2017;236;26.553571
37.tyzden.2017;316;20.035714
38.tyzden.2017;273;8.071429
39.tyzden.2017;270;18.839286
40.tyzden.2017;265;5.071429
41.tyzden.2017;261;21.410714
42.tyzden.2017;291;7.107143
43.tyzden.2017;311;9.982143
44.tyzden.2017;218;3.714286
45.tyzden.2017;279;18.357143
46.tyzden.2017;271;8.089286
47.tyzden.2017;322;9.785714
48.tyzden.2017;303;5.142857
49.tyzden.2017;339;10.357143
50.tyzden.2017;297;8.482143
51.tyzden.2017;311;6.392857
52.tyzden.2017;211;5.785714
